site_slug,site_name_zh,site_name_en,site_abbr,site_category,site_difficulty,site_uses,concept_slug,concept_zh,concept_en,concept_family,match_type,match_confidence,winner_zh,winner_en,runner_up_zh,runner_up_en,expert_count,material_count,evidence_summary_zh,evidence_summary_en,source_files,validation_flags
momentum,動量指標,Momentum,MOM,動能,入門,追蹤強弱; 找轉折,momentum,動量,Momentum,momentum,exact,high,拉瑞・威廉斯,Larry Williams,羅伯特・科爾比、馬丁・普林格,Robert W. Colby / Martin J. Pring,12,0,拉瑞・威廉斯優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為羅伯特・科爾比、馬丁・普林格。,"Larry Williams wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Robert W. Colby / Martin J. Pring.",app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,
moving-average-envelope,移動平均包絡線,Moving Average Envelope,MA Envelope,通道/型態,中階,支撐阻力; 觀察波動,moving-average,移動平均,Moving Average,trend,split,high,傑拉德・阿佩爾,Gerald Appel,約翰・墨菲、羅伯特・科爾比,John J. Murphy / Robert W. Colby,8,0,傑拉德・阿佩爾優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為約翰・墨菲、羅伯特・科爾比。,"Gerald Appel wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: John J. Murphy / Robert W. Colby.",app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,taxonomy_split_review
natr,標準化平均真實波幅,Normalized Average True Range,NATR,波動率,中階,管理風險; 篩選股票,atr,ATR 平均真實波幅,Average True Range,volatility,alias,high,威爾斯・威爾德,J. Welles Wilder Jr.,奧利維耶・塞班,Olivier Seban,2,0,威爾斯・威爾德優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為奧利維耶・塞班。,"J. Welles Wilder Jr. wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Olivier Seban.",app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,
new-high-new-low,新高新低數,New High New Low,NH-NL,市場寬度,中階,看趨勢; 確認量能,breadth,市場寬度,Market Breadth,breadth,merge,high,內德・戴維斯,Ned Davis,拉瑞・威廉斯、拉爾夫・文斯,Larry Williams / Ralph Vince,14,0,內德・戴維斯優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為拉瑞・威廉斯、拉爾夫・文斯。,"Ned Davis wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Larry Williams / Ralph Vince.",app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,taxonomy_merge_review
nvi,負成交量指標,Negative Volume Index,NVI,成交量,進階,確認量能; 追蹤強弱,volume-analysis,成交量分析,Volume Analysis,volume,merge,medium,理查・威科夫,Richard D. Wyckoff,約瑟夫・格蘭維爾、巴夫・多米爾,Joseph Granville / Buff Dormeier,13,0,理查・威科夫優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為約瑟夫・格蘭維爾、巴夫・多米爾。,"Richard D. Wyckoff wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Joseph Granville / Buff Dormeier.",app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,taxonomy_merge_review; taxonomy_confidence_review
obv,能量潮,On Balance Volume,OBV,成交量,入門,確認量能; 追蹤強弱,obv,OBV 能量潮,On-Balance Volume,volume,exact,high,約瑟夫・格蘭維爾,Joseph Granville,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,1,0,約瑟夫・格蘭維爾是目前資料庫中唯一對應「OBV 能量潮」的核心專家。,Joseph Granville is the only expert currently mapped to On-Balance Volume in this database.,app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,
percent-b,布林百分比,Bollinger %B,%B,波動率,中階,觀察波動; 找轉折,bollinger-bands,布林通道,Bollinger Bands,volatility,alias,high,約翰・布林格,John Bollinger,傑瑞米・杜普萊西斯,Jeremy du Plessis,2,0,約翰・布林格優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為傑瑞米・杜普萊西斯。,"John Bollinger wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Jeremy du Plessis.",app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,
pivot-points,樞軸點,Pivot Points,Pivot,支撐阻力,入門,支撐阻力; 管理風險,support-resistance,支撐阻力,Support and Resistance,charting,merge,high,羅伯特・愛德華茲、約翰・麥基,Robert D. Edwards / John Magee,威廉・江恩、彼得・史戴梅爾,W. D. Gann / J. Peter Steidlmayer,12,0,羅伯特・愛德華茲、約翰・麥基並列優勝；此指標/方法屬共同創作或共同權威，應並讀其資料。,Robert D. Edwards / John Magee are joint winners; this indicator/method is best treated as a shared authority.,app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,taxonomy_merge_review
ppo,百分比價格震盪器,Percentage Price Oscillator,PPO,動能,中階,追蹤強弱; 看趨勢,macd,MACD,Moving Average Convergence/Divergence,momentum,alias,medium,傑拉德・阿佩爾,Gerald Appel,亞歷克斯・斯皮羅格魯,Alex Spiroglou,2,0,傑拉德・阿佩爾優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為亞歷克斯・斯皮羅格魯。,"Gerald Appel wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Alex Spiroglou.",app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,taxonomy_confidence_review
price-channel,價格通道,Price Channel,Channel,通道/型態,入門,看趨勢; 支撐阻力,trend-following,趨勢跟隨,Trend Following,trend,split,medium,理查・唐奇安,Richard Donchian,威廉・彼得・漢密爾頓、達利・古比,William Peter Hamilton / Daryl Guppy,20,0,理查・唐奇安優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為威廉・彼得・漢密爾頓、達利・古比。,"Richard Donchian wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: William Peter Hamilton / Daryl Guppy.",app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,taxonomy_split_review; taxonomy_confidence_review
psar,拋物線轉向指標,Parabolic SAR,PSAR,趨勢,中階,看趨勢; 管理風險,parabolic-sar,Parabolic SAR,Parabolic SAR,trend,alias,high,威爾斯・威爾德,J. Welles Wilder Jr.,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,1,0,威爾斯・威爾德是目前資料庫中唯一對應「Parabolic SAR」的核心專家。,J. Welles Wilder Jr. is the only expert currently mapped to Parabolic SAR in this database.,app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,
put-call-ratio,認沽認購比率,Put Call Ratio,PCR,綜合,進階,追蹤強弱; 管理風險,sentiment,市場情緒,Sentiment,sentiment,alias,high,傑森・戈普弗特,Jason Goepfert,內德・戴維斯、艾德森・古爾德,Ned Davis / Edson Gould,8,0,傑森・戈普弗特優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為內德・戴維斯、艾德森・古爾德。,"Jason Goepfert wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Ned Davis / Edson Gould.",app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,
pvi,正成交量指標,Positive Volume Index,PVI,成交量,進階,確認量能; 追蹤強弱,volume-analysis,成交量分析,Volume Analysis,volume,merge,medium,理查・威科夫,Richard D. Wyckoff,約瑟夫・格蘭維爾、巴夫・多米爾,Joseph Granville / Buff Dormeier,13,0,理查・威科夫優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為約瑟夫・格蘭維爾、巴夫・多米爾。,"Richard D. Wyckoff wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Joseph Granville / Buff Dormeier.",app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,taxonomy_merge_review; taxonomy_confidence_review
pvt,價量趨勢指標,Price Volume Trend,PVT,成交量,中階,確認量能; 追蹤強弱,volume-analysis,成交量分析,Volume Analysis,volume,merge,medium,理查・威科夫,Richard D. Wyckoff,約瑟夫・格蘭維爾、巴夫・多米爾,Joseph Granville / Buff Dormeier,13,0,理查・威科夫優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為約瑟夫・格蘭維爾、巴夫・多米爾。,"Richard D. Wyckoff wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Joseph Granville / Buff Dormeier.",app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,taxonomy_merge_review; taxonomy_confidence_review
relative-strength-comparative,相對強弱比較,Relative Strength Comparative,RSC,綜合,中階,篩選股票; 追蹤強弱,relative-strength,相對強弱 / 強勢股篩選,Relative Strength,stock_selection,alias,high,威廉・歐尼爾,William J. O'Neil,查爾斯・柯克派翠克二世、蓋瑞・安東納奇,Charles D. Kirkpatrick II / Gary Antonacci,8,0,威廉・歐尼爾優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為查爾斯・柯克派翠克二世、蓋瑞・安東納奇。,"William J. O'Neil wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Charles D. Kirkpatrick II / Gary Antonacci.",app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,
relative-vigor-index,相對活力指數,Relative Vigor Index,RVI,動能,進階,追蹤強弱; 找轉折,momentum,動量,Momentum,momentum,merge,medium,拉瑞・威廉斯,Larry Williams,羅伯特・科爾比、馬丁・普林格,Robert W. Colby / Martin J. Pring,12,0,拉瑞・威廉斯優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為羅伯特・科爾比、馬丁・普林格。,"Larry Williams wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Robert W. Colby / Martin J. Pring.",app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,taxonomy_merge_review; taxonomy_confidence_review
renko,磚形圖,Renko,Renko,通道/型態,進階,看趨勢; 判斷盤整,chart-patterns,圖表型態,Chart Patterns,charting,merge,medium,湯瑪斯・布考斯基,Thomas N. Bulkowski,茱莉・達爾奎斯特、羅伯特・愛德華茲,Julie R. Dahlquist / Robert D. Edwards,12,0,湯瑪斯・布考斯基優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為茱莉・達爾奎斯特、羅伯特・愛德華茲。,"Thomas N. Bulkowski wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Julie R. Dahlquist / Robert D. Edwards.",app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,taxonomy_merge_review; taxonomy_confidence_review
roc,變動率,Rate of Change,ROC,動能,入門,追蹤強弱; 找轉折,momentum,動量,Momentum,momentum,merge,high,拉瑞・威廉斯,Larry Williams,羅伯特・科爾比、馬丁・普林格,Robert W. Colby / Martin J. Pring,12,0,拉瑞・威廉斯優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為羅伯特・科爾比、馬丁・普林格。,"Larry Williams wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Robert W. Colby / Martin J. Pring.",app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,taxonomy_merge_review
rsi,相對強弱指數,Relative Strength Index,RSI,動能,入門,找轉折; 追蹤強弱,rsi,RSI 相對強弱指數,Relative Strength Index,momentum,exact,high,威爾斯・威爾德,J. Welles Wilder Jr.,拉倫斯・康納斯、康斯坦絲・布朗,Laurence A. Connors / Constance Brown,5,0,威爾斯・威爾德優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為拉倫斯・康納斯、康斯坦絲・布朗。,"J. Welles Wilder Jr. wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Laurence A. Connors / Constance Brown.",app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,
sma,簡單移動平均線,Simple Moving Average,SMA,趨勢,入門,看趨勢; 支撐阻力,moving-average,移動平均,Moving Average,trend,merge,high,傑拉德・阿佩爾,Gerald Appel,約翰・墨菲、羅伯特・科爾比,John J. Murphy / Robert W. Colby,8,0,傑拉德・阿佩爾優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為約翰・墨菲、羅伯特・科爾比。,"Gerald Appel wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: John J. Murphy / Robert W. Colby.",app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,taxonomy_merge_review
standard-deviation,標準差,Standard Deviation,SD,波動率,中階,觀察波動; 判斷盤整,volatility,波動率,Volatility,volatility,merge,high,約翰・布林格,John Bollinger,安德魯・思拉舍、亞歷克斯・斯皮羅格魯,Andrew Thrasher / Alex Spiroglou,4,0,約翰・布林格優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為安德魯・思拉舍、亞歷克斯・斯皮羅格魯。,"John Bollinger wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Andrew Thrasher / Alex Spiroglou.",app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,taxonomy_merge_review
stochastic,隨機指標,Stochastic Oscillator,KD,動能,入門,找轉折; 判斷盤整,stochastic,隨機指標,Stochastic Oscillator,momentum,exact,high,喬治・藍恩,George C. Lane,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,1,0,喬治・藍恩是目前資料庫中唯一對應「隨機指標」的核心專家。,George C. Lane is the only expert currently mapped to Stochastic Oscillator in this database.,app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,
stochastic-rsi,隨機 RSI,Stochastic RSI,StochRSI,動能,中階,找轉折; 追蹤強弱,stochastic-rsi,隨機 RSI,Stochastic RSI,momentum,exact,high,圖沙・昌德,Tushar S. Chande,史丹利・克羅爾,Stanley Kroll,2,0,圖沙・昌德優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為史丹利・克羅爾。,"Tushar S. Chande wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Stanley Kroll.",app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,
supertrend,超級趨勢線,Supertrend,Supertrend,趨勢,中階,看趨勢; 管理風險,supertrend,SuperTrend,SuperTrend,trend,exact,high,奧利維耶・塞班,Olivier Seban,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,1,0,奧利維耶・塞班是目前資料庫中唯一對應「SuperTrend」的核心專家。,Olivier Seban is the only expert currently mapped to SuperTrend in this database.,app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,
support-resistance,支撐與阻力,Support and Resistance,S/R,支撐阻力,入門,支撐阻力; 管理風險,support-resistance,支撐阻力,Support and Resistance,charting,exact,high,羅伯特・愛德華茲、約翰・麥基,Robert D. Edwards / John Magee,威廉・江恩、彼得・史戴梅爾,W. D. Gann / J. Peter Steidlmayer,12,0,羅伯特・愛德華茲、約翰・麥基並列優勝；此指標/方法屬共同創作或共同權威，應並讀其資料。,Robert D. Edwards / John Magee are joint winners; this indicator/method is best treated as a shared authority.,app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,
trendline,趨勢線,Trendline,TL,支撐阻力,入門,看趨勢; 支撐阻力,support-resistance,支撐阻力,Support and Resistance,charting,split,high,羅伯特・愛德華茲、約翰・麥基,Robert D. Edwards / John Magee,威廉・江恩、彼得・史戴梅爾,W. D. Gann / J. Peter Steidlmayer,12,0,羅伯特・愛德華茲、約翰・麥基並列優勝；此指標/方法屬共同創作或共同權威，應並讀其資料。,Robert D. Edwards / John Magee are joint winners; this indicator/method is best treated as a shared authority.,app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,taxonomy_split_review
trin,阿姆斯指數,Arms Index,TRIN,市場寬度,進階,確認量能; 看趨勢,trin-arms-index,TRIN / Arms Index,Arms Index,breadth,alias,high,理查・阿姆斯,Richard W. Arms Jr.,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,1,0,理查・阿姆斯是目前資料庫中唯一對應「TRIN / Arms Index」的核心專家。,Richard W. Arms Jr. is the only expert currently mapped to Arms Index in this database.,app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,
trix,三重指數平滑平均,Triple Exponential Average,TRIX,動能,進階,看趨勢; 找轉折,trix,TRIX,Triple Exponential Average,momentum,exact,high,傑克・哈特森,Jack K. Hutson,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,1,0,傑克・哈特森是目前資料庫中唯一對應「TRIX」的核心專家。,Jack K. Hutson is the only expert currently mapped to Triple Exponential Average in this database.,app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,
tsi,真實強弱指數,True Strength Index,TSI,動能,進階,追蹤強弱; 找轉折,momentum,動量,Momentum,momentum,merge,medium,拉瑞・威廉斯,Larry Williams,羅伯特・科爾比、馬丁・普林格,Robert W. Colby / Martin J. Pring,12,0,拉瑞・威廉斯優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為羅伯特・科爾比、馬丁・普林格。,"Larry Williams wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Robert W. Colby / Martin J. Pring.",app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,taxonomy_merge_review; taxonomy_confidence_review
ulcer-index,潰瘍指數,Ulcer Index,UI,波動率,進階,管理風險; 篩選股票,ulcer-index,Ulcer Index,Ulcer Index,risk,exact,high,彼得・馬丁、拜倫・麥肯,Peter G. Martin / Byron McCann,共同核心專家；不另設補充角色,Joint core experts; no separate runner-up assigned,2,0,彼得・馬丁、拜倫・麥肯並列優勝；此指標/方法屬共同創作或共同權威，應並讀其資料。,Peter G. Martin / Byron McCann are joint winners; this indicator/method is best treated as a shared authority.,app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,
ultimate-oscillator,終極震盪指標,Ultimate Oscillator,UO,動能,進階,找轉折; 追蹤強弱,momentum,動量,Momentum,momentum,merge,medium,拉瑞・威廉斯,Larry Williams,羅伯特・科爾比、馬丁・普林格,Robert W. Colby / Martin J. Pring,12,0,拉瑞・威廉斯優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為羅伯特・科爾比、馬丁・普林格。,"Larry Williams wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Robert W. Colby / Martin J. Pring.",app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,taxonomy_merge_review; taxonomy_confidence_review
volatility-stop,波動止蝕,Volatility Stop,VStop,波動率,中階,管理風險; 看趨勢,volatility,波動率,Volatility,volatility,split,medium,約翰・布林格,John Bollinger,安德魯・思拉舍、亞歷克斯・斯皮羅格魯,Andrew Thrasher / Alex Spiroglou,4,0,約翰・布林格優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為安德魯・思拉舍、亞歷克斯・斯皮羅格魯。,"John Bollinger wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Andrew Thrasher / Alex Spiroglou.",app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,taxonomy_split_review; taxonomy_confidence_review
volume,成交量,Volume,Volume,成交量,入門,確認量能; 看趨勢,volume-analysis,成交量分析,Volume Analysis,volume,merge,high,理查・威科夫,Richard D. Wyckoff,約瑟夫・格蘭維爾、巴夫・多米爾,Joseph Granville / Buff Dormeier,13,0,理查・威科夫優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為約瑟夫・格蘭維爾、巴夫・多米爾。,"Richard D. Wyckoff wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Joseph Granville / Buff Dormeier.",app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,taxonomy_merge_review
volume-ma,成交量均線,Volume Moving Average,Vol MA,成交量,入門,確認量能; 篩選股票,volume-analysis,成交量分析,Volume Analysis,volume,split,high,理查・威科夫,Richard D. Wyckoff,約瑟夫・格蘭維爾、巴夫・多米爾,Joseph Granville / Buff Dormeier,13,0,理查・威科夫優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為約瑟夫・格蘭維爾、巴夫・多米爾。,"Richard D. Wyckoff wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Joseph Granville / Buff Dormeier.",app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,taxonomy_split_review
volume-oscillator,成交量震盪器,Volume Oscillator,VO,成交量,中階,確認量能; 觀察波動,volume-analysis,成交量分析,Volume Analysis,volume,split,high,理查・威科夫,Richard D. Wyckoff,約瑟夫・格蘭維爾、巴夫・多米爾,Joseph Granville / Buff Dormeier,13,0,理查・威科夫優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為約瑟夫・格蘭維爾、巴夫・多米爾。,"Richard D. Wyckoff wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Joseph Granville / Buff Dormeier.",app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,taxonomy_split_review
volume-profile,成交量分佈,Volume Profile,VP,成交量,進階,支撐阻力; 確認量能,market-profile,Market Profile,Market Profile,auction_market,split,medium,彼得・史戴梅爾,J. Peter Steidlmayer,詹姆斯・道爾頓,James F. Dalton,2,0,彼得・史戴梅爾優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為詹姆斯・道爾頓。,"J. Peter Steidlmayer wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: James F. Dalton.",app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,taxonomy_split_review; taxonomy_confidence_review
vortex-indicator,漩渦指標,Vortex Indicator,VI,趨勢,中階,看趨勢; 找轉折,vortex-indicator,Vortex 指標,Vortex Indicator,trend,exact,high,艾蒂安・博特斯、道格拉斯・西普曼,Etienne Botes / Douglas Siepman,共同核心專家；不另設補充角色,Joint core experts; no separate runner-up assigned,2,0,艾蒂安・博特斯、道格拉斯・西普曼並列優勝；此指標/方法屬共同創作或共同權威，應並讀其資料。,Etienne Botes / Douglas Siepman are joint winners; this indicator/method is best treated as a shared authority.,app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,
vwap,成交量加權平均價,Volume Weighted Average Price,VWAP,成交量,中階,確認量能; 支撐阻力,vwap,VWAP / Anchored VWAP,VWAP / Anchored VWAP,volume,exact,high,布萊恩・香農,Brian Shannon,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,1,0,布萊恩・香農是目前資料庫中唯一對應「VWAP / Anchored VWAP」的核心專家。,Brian Shannon is the only expert currently mapped to VWAP / Anchored VWAP in this database.,app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,
williams-r,威廉指標,Williams %R,%R,動能,中階,找轉折; 判斷盤整,williams-r,Williams %R,Williams %R,momentum,exact,high,拉瑞・威廉斯,Larry Williams,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,1,0,拉瑞・威廉斯是目前資料庫中唯一對應「Williams %R」的核心專家。,Larry Williams is the only expert currently mapped to Williams %R in this database.,app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,
wma,加權移動平均線,Weighted Moving Average,WMA,趨勢,中階,看趨勢; 找轉折,moving-average,移動平均,Moving Average,trend,merge,high,傑拉德・阿佩爾,Gerald Appel,約翰・墨菲、羅伯特・科爾比,John J. Murphy / Robert W. Colby,8,0,傑拉德・阿佩爾優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為約翰・墨菲、羅伯特・科爾比。,"Gerald Appel wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: John J. Murphy / Robert W. Colby.",app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,taxonomy_merge_review
zig-zag,Zig Zag 指標,Zig Zag,Zig Zag,通道/型態,中階,看趨勢; 找轉折,price-action,價格行為,Price Action,charting,split,medium,本間宗久,Munehisa Homma,艾倫・安德魯斯、傑克・施瓦格,Alan Andrews / Jack D. Schwager,11,0,本間宗久優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為艾倫・安德魯斯、傑克・施瓦格。,"Munehisa Homma wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Alan Andrews / Jack D. Schwager.",app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,taxonomy_split_review; taxonomy_confidence_review
