row,expert_zh,expert_en,title,material_type,source_type,evidence_level,proposed_review_state,flags,source_url
201,派翠克・馬洛伊,Patrick G. Mulloy,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://www.investopedia.com/ask/answers/041315/why-triple-exponential-moving-average-tema-important-traders-and-analysts.asp
203,傑克・哈特森,Jack K. Hutson,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-indicators/trix
204,金・匡,Gene Quong,,indicator,web_reference,medium,medium,web_reference_needs_retyping,https://www.tradingview.com/support/solutions/43000502348-money-flow-mfi/
205,金・匡,Gene Quong,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://help.stockstrader.com/en/support/solutions/articles/33000210228-money-flow-index-mfi-
206,金・匡,Gene Quong,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://library.tradingtechnologies.com/trade/chrt-ti-money-flow-index.html
207,金・匡,Gene Quong,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://www.tradingview.com/support/solutions/43000502348-money-flow-mfi/
208,阿夫魯姆・蘇達克,Avrum Soudack,,indicator,web_reference,medium,medium,web_reference_needs_retyping,https://www.tradingview.com/support/solutions/43000502348-money-flow-mfi/
209,阿夫魯姆・蘇達克,Avrum Soudack,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://help.stockstrader.com/en/support/solutions/articles/33000210228-money-flow-index-mfi-
210,阿夫魯姆・蘇達克,Avrum Soudack,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://library.tradingtechnologies.com/trade/chrt-ti-money-flow-index.html
211,阿夫魯姆・蘇達克,Avrum Soudack,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://www.tradingview.com/support/solutions/43000502348-money-flow-mfi/
213,彼得・馬丁,Peter G. Martin,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-indicators/ulcer-index
215,拜倫・麥肯,Byron McCann,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-indicators/ulcer-index
217,艾蒂安・博特斯,Etienne Botes,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://traders.com/documentation/feedbk_docs/2010/01/Botes.html
218,艾蒂安・博特斯,Etienne Botes,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://www.investopedia.com/terms/v/vortex-indicator-vi.asp
220,道格拉斯・西普曼,Douglas Siepman,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://traders.com/documentation/feedbk_docs/2010/01/Botes.html
221,道格拉斯・西普曼,Douglas Siepman,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://www.investopedia.com/terms/v/vortex-indicator-vi.asp
222,奧利維耶・塞班,Olivier Seban,,indicator,web_reference,medium,medium,web_reference_needs_retyping,https://www.tradingview.com/support/solutions/43000634738-supertrend/
223,奧利維耶・塞班,Olivier Seban,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://www.investopedia.com/supertrend-indicator-7976167
224,奧利維耶・塞班,Olivier Seban,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://www.tradingview.com/support/solutions/43000634738-supertrend/
226,漢克・普魯登,Hank Pruden,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://chartschool.stockcharts.com/table-of-contents/market-analysis/wyckoff-analysis-articles/the-wyckoff-method-a-tutorial
227,漢克・普魯登,Hank Pruden,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://www.wyckoffanalytics.com/hank-pruden/
229,大衛・韋斯,David Weis,,source,book_catalog,medium,medium,missing_year_review; source_row_support_only,https://books.google.com/books/about/Trades_About_to_Happen.html?id=IPw1CgAAQBAJ
230,大衛・韋斯,David Weis,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://www.wyckoffanalytics.com/david-weis/
232,湯姆・威廉斯,Tom Williams,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://www.acmetrades.com/tom-williams
233,湯姆・威廉斯,Tom Williams,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://www.tradeguider.com/resource_center1.asp
234,A・W・科恩,A. W. Cohen,,book,indicator_reference,medium,medium,book_reference_without_identifier,https://chartschool.stockcharts.com/table-of-contents/chart-analysis/point-and-figure-charts/point-and-figure-basics/introduction-to-point-and-figure-charts
235,A・W・科恩,A. W. Cohen,,source,book_catalog,medium,medium,missing_year_review; source_row_support_only,https://books.google.com/books/about/How_to_Use_the_Three_point_Reversal_Meth.html?id=iMdEAAAAIAAJ
236,A・W・科恩,A. W. Cohen,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://chartschool.stockcharts.com/table-of-contents/chart-analysis/point-and-figure-charts/point-and-figure-basics/introduction-to-point-and-figure-charts
237,A・W・科恩,A. W. Cohen,,source,book_catalog,medium,medium,missing_year_review; source_row_support_only,https://openlibrary.org/works/OL174845W/How_to_use_the_three-point_reversal_method_of_point_figure_stock_market_trading
239,湯瑪斯・多爾西,Thomas J. Dorsey,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://oxlive.dorseywright.com/university/faq.html
240,湯瑪斯・多爾西,Thomas J. Dorsey,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://www.investopedia.com/terms/p/pointandfigurechart.asp
243,傑瑞米・杜普萊西斯,Jeremy du Plessis,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://harriman-house.com/authors/jeremy-du-plessis/21st-century-point-and-figure/9780857194428
245,彼得・史戴梅爾,J. Peter Steidlmayer,,book,book_reference,medium,medium,book_reference_without_identifier,https://www.profiletrading.com/about/
246,彼得・史戴梅爾,J. Peter Steidlmayer,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://www.profiletrading.com/about/
248,詹姆斯・道爾頓,James F. Dalton,,book,book_reference,medium,medium,book_reference_without_identifier,https://jimdaltontrading.com/books/
249,詹姆斯・道爾頓,James F. Dalton,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://jimdaltontrading.com/books/
251,馬克・費雪,Mark B. Fisher,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://www.investopedia.com/articles/technical/04/032404.asp
252,馬克・費雪,Mark B. Fisher,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://www.investopedia.com/articles/technical/04/040704.asp
254,托比・克拉貝爾,Toby Crabel,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://oxfordstrat.com/trading-strategies/toby-crabel-narrow-range-1/
256,維克多・斯佩蘭迪奧,Victor Sperandeo,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://thepatternsite.com/2B.html
257,羅伯特・邁納,Robert C. Miner,,book,book_reference,medium,medium,book_reference_without_identifier,https://dynamictraders.com/dt-books/
258,羅伯特・邁納,Robert C. Miner,,source,book_catalog,medium,medium,missing_year_review; source_row_support_only,https://books.google.com/books/about/Dynamic_Trading.html?id=ymtaAAAAYAAJ
259,羅伯特・邁納,Robert C. Miner,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://dynamictraders.com/dt-books/
260,羅伯特・邁納,Robert C. Miner,,source,book_catalog,medium,medium,missing_year_review; source_row_support_only,https://www.amazon.com/Dynamic-Trading-Practical-Strategies-Investors/dp/093438083X
261,卡洛琳・波羅登,Carolyn Boroden,,book,book_reference,medium,medium,book_reference_without_identifier,https://www.moneyshow.com/expert/ote17731/carolyn-boroden/
262,卡洛琳・波羅登,Carolyn Boroden,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://www.elliottwavetrader.net/analyst/Carolyn-Boroden
263,卡洛琳・波羅登,Carolyn Boroden,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://www.moneyshow.com/expert/ote17731/carolyn-boroden/
264,喬・迪納波利,Joe DiNapoli,,book,book_reference,medium,medium,book_reference_without_identifier,https://www.mql5.com/en/articles/3061
265,喬・迪納波利,Joe DiNapoli,,source,book_catalog,medium,medium,missing_year_review; source_row_support_only,https://www.amazon.com/DiNapoli-Levels-Practical-Application-Investment/dp/1891159046
266,喬・迪納波利,Joe DiNapoli,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://www.moneyshow.com/expert/2160spk/
267,喬・迪納波利,Joe DiNapoli,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://www.mql5.com/en/articles/3061
268,艾倫・安德魯斯,Alan Andrews,,drawing_tool,indicator_reference,medium,medium,missing_year_review,https://www.investopedia.com/articles/forex/05/andrewspitchfork.asp
269,艾倫・安德魯斯,Alan Andrews,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://www.investopedia.com/articles/forex/05/andrewspitchfork.asp
270,艾倫・安德魯斯,Alan Andrews,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://www.optuma.com/blog/pitchforks-part-1
271,亞瑟・梅里爾,Arthur A. Merrill,,book,book_catalog,high,medium,book_reference_without_identifier,https://www.amazon.com/Filtered-Waves-Basic-Theory-Analysis/dp/0911894365
272,亞瑟・梅里爾,Arthur A. Merrill,,book,book_catalog,high,medium,book_reference_without_identifier,https://www.amazon.com/Filtered-Waves-Basic-Theory-Analysis/dp/0911894365
273,亞瑟・梅里爾,Arthur A. Merrill,,source,book_catalog,medium,medium,missing_year_review; source_row_support_only,https://books.google.com/books/about/Behavior_of_Prices_on_Wall_Street.html?id=wEsUAQAAMAAJ
274,亞瑟・梅里爾,Arthur A. Merrill,,source,book_catalog,medium,medium,missing_year_review; source_row_support_only,https://openlibrary.org/books/OL5991950M/Behavior_of_prices_on_Wall_Street.
275,亞瑟・梅里爾,Arthur A. Merrill,,source,book_catalog,medium,medium,missing_year_review; source_row_support_only,https://www.amazon.com/Filtered-Waves-Basic-Theory-Analysis/dp/0911894365
278,漢弗萊・尼爾,Humphrey B. Neill,,source,book_catalog,medium,medium,missing_year_review; source_row_support_only,https://books.google.com/books/about/Tape_Reading_and_Market_Tactics.html?id=XuiREQAAQBAJ
279,華特・迪默,Walter Deemer,,archive,web_reference,medium,medium,web_reference_needs_retyping,https://www.walterdeemer.com/
281,華特・迪默,Walter Deemer,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://deemermarketmemos.com/
282,華特・迪默,Walter Deemer,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://www.walterdeemer.com/
283,內德・戴維斯,Ned Davis,,book,book_reference,medium,medium,book_reference_without_identifier,https://info.ndr.com/ndr-signals/which-indicators-should-i-follow
284,內德・戴維斯,Ned Davis,,book,book_reference,medium,medium,book_reference_without_identifier,https://info.ndr.com/ndr-signals/which-indicators-should-i-follow
285,內德・戴維斯,Ned Davis,,source,book_catalog,medium,medium,missing_year_review; source_row_support_only,https://books.google.com/books/about/Being_Right_or_Making_Money.html?id=wLhYBQAAQBAJ
286,內德・戴維斯,Ned Davis,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://info.ndr.com/ndr-signals
287,內德・戴維斯,Ned Davis,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://info.ndr.com/ndr-signals/which-indicators-should-i-follow
288,內德・戴維斯,Ned Davis,,source,book_catalog,medium,medium,missing_year_review; source_row_support_only,https://www.amazon.com/Being-Right-Making-Money-Davis/dp/1118992067
290,傑森・戈普弗特,Jason Goepfert,,source,award_or_professional,high,medium,missing_year_review; source_row_support_only,https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/
293,巴夫・多米爾,Buff Dormeier,,source,award_or_professional,high,medium,missing_year_review; source_row_support_only,https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/
296,安德魯・思拉舍,Andrew Thrasher,,source,award_or_professional,high,medium,missing_year_review; source_row_support_only,https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/
298,亞歷克斯・斯皮羅格魯,Alex Spiroglou,,source,award_or_professional,high,medium,missing_year_review; source_row_support_only,https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/
301,拉爾夫・文斯,Ralph Vince,,source,award_or_professional,high,medium,missing_year_review; source_row_support_only,https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/
304,蓋瑞・安東納奇,Gary Antonacci,,source,award_or_professional,high,medium,missing_year_review; source_row_support_only,https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/
307,安德魯・羅,Andrew W. Lo,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://ideas.repec.org/p/nbr/nberwo/7613.html
308,安德魯・羅,Andrew W. Lo,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=228099
310,大衛・阿隆森,David Aronson,,source,book_catalog,medium,medium,missing_year_review; source_row_support_only,https://www.amazon.com/Evidence-Based-Technical-Analysis-Scientific-Statistical/dp/0470008741
311,大衛・阿隆森,David Aronson,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://www.wiley.com/en-ca/Evidence-Based%2BTechnical%2BAnalysis%3A%2BApplying%2Bthe%2BScientific%2BMethod%2Band%2BStatistical%2BInference%2Bto%2BTrading%2BSignals-p-9780470008744
