rank,name_zh,name_en,country_region,years,role,category,main_concepts_zh,notable_works,total_score,why_selected_zh,sources
68,阿夫魯姆・蘇達克,Avrum Soudack,United States,,指標共同創作者,indicator_creator,MFI 資金流量指標(共同創始者)；成交量分析(量價動量),Money Flow Index,17,Money Flow Index 共同創作者，MFI 也常被稱為加入成交量的 RSI。,https://www.tradingview.com/support/solutions/43000502348-money-flow-mfi/；https://library.tradingtechnologies.com/trade/chrt-ti-money-flow-index.html；https://help.stockstrader.com/en/support/solutions/articles/33000210228-money-flow-index-mfi-
69,彼得・馬丁,Peter G. Martin,United States,,風險指標創作者,indicator_creator,Ulcer Index(共同創始者)；風險 / 回撤(下行風險),The Investor's Guide to Fidelity Funds,18,Ulcer Index 共同創作者，用於衡量下行風險與回撤痛苦程度。,https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-indicators/ulcer-index
70,拜倫・麥肯,Byron McCann,United States,,風險指標共同創作者,indicator_creator,Ulcer Index(共同創始者)；風險 / 回撤(下行風險),The Investor's Guide to Fidelity Funds,18,Ulcer Index 共同作者，適合放入技術分析風險/回撤指標分類。,https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-indicators/ulcer-index
71,艾蒂安・博特斯,Etienne Botes,South Africa,,指標共同創作者,indicator_creator,Vortex 指標(共同創始者)；趨勢跟隨(趨勢反轉),The Vortex Indicator,20,Vortex Indicator 共同創作者，該指標受 Wilder DMI 啟發，用於趨勢轉折與確認。,https://traders.com/documentation/feedbk_docs/2010/01/Botes.html；https://www.investopedia.com/terms/v/vortex-indicator-vi.asp
72,道格拉斯・西普曼,Douglas Siepman,South Africa,,指標共同創作者,indicator_creator,Vortex 指標(共同創始者)；趨勢跟隨(趨勢反轉),The Vortex Indicator,20,Vortex Indicator 共同創作者，適合歸檔於 DMI 類趨勢與方向變化指標。,https://traders.com/documentation/feedbk_docs/2010/01/Botes.html；https://www.investopedia.com/terms/v/vortex-indicator-vi.asp
73,奧利維耶・塞班,Olivier Seban,France,,交易者、指標創作者,indicator_creator,SuperTrend(創始者)；ATR 平均真實波幅(ATR 通道應用)；趨勢跟隨(趨勢跟隨),SuperTrend,19,SuperTrend 創作者，該指標以 ATR 與倍數形成趨勢方向線，在交易平台中非常常見。,https://www.tradingview.com/support/solutions/43000634738-supertrend/；https://www.investopedia.com/supertrend-indicator-7976167
74,漢克・普魯登,Hank Pruden,United States,1936-2018,學者、Wyckoff 教育者、CMT 社群人物,educator,威科夫方法(教育者)；成交量分析(供需/量價)；交易系統(三大交易技能),The Three Skills of Top Trading,21,將 Wyckoff 方法帶入學術與 CMT 教育脈絡，適合威科夫方法專家分類。,https://www.wyckoffanalytics.com/hank-pruden/；https://chartschool.stockcharts.com/table-of-contents/market-analysis/wyckoff-analysis-articles/the-wyckoff-method-a-tutorial
75,大衛・韋斯,David Weis,United States,1942-2020,Wyckoff 交易者、作家,educator,威科夫方法(現代改編者)；成交量分析(Weis Wave)；價格行為(價格量能),Trades About to Happen,20,把 Wyckoff 原理改編為現代量價與 Weis Wave 工具，是威科夫實戰資料的重要人物。,https://www.wyckoffanalytics.com/david-weis/；https://books.google.com/books/about/Trades_About_to_Happen.html?id=IPw1CgAAQBAJ
76,湯姆・威廉斯,Tom Williams,United Kingdom,1929-2016,VSA 創始/推廣者、TradeGuider 創辦人,indicator_specialist,VSA 量價差分析(創始/推廣者)；威科夫方法(威科夫衍生)；成交量分析(量價差),Master the Markets,18,Volume Spread Analysis 代表人物，將 Wyckoff 供需觀念整理為 VSA 量價差分析。,https://www.acmetrades.com/tom-williams；https://www.tradeguider.com/resource_center1.asp
77,A・W・科恩,A. W. Cohen,United States,,點數圖作者、Chartcraft 創辦人,charting_specialist,點數圖(3-box reversal 推廣者)；市場寬度(Bullish Percent),How to Use the Three-Point Reversal Method of Point & Figure Stock Market Trading,19,被 StockCharts 介紹為經典 3-box reversal P&F 圖的代表人物之一。,https://chartschool.stockcharts.com/table-of-contents/chart-analysis/point-and-figure-charts/point-and-figure-basics/introduction-to-point-and-figure-charts；https://books.google.com/books/about/How_to_Use_the_Three_point_Reversal_Meth.html?id=iMdEAAAAIAAJ；https://openlibrary.org/works/OL174845W/How_to_use_the_three-point_reversal_method_of_point_figure_stock_market_trading
78,湯瑪斯・多爾西,Thomas J. Dorsey,United States,,點數圖作家、Dorsey Wright 創辦人,charting_specialist,點數圖(現代推廣者)；相對強弱 / 強勢股篩選(P&F 相對強弱),Point & Figure Charting,20,現代 Point & Figure 教育與相對強弱分析代表人物，Nasdaq Dorsey Wright 方法與其相關。,https://www.investopedia.com/terms/p/pointandfigurechart.asp；https://oxlive.dorseywright.com/university/faq.html
79,傑瑞米・杜普萊西斯,Jeremy du Plessis,South Africa / United Kingdom,,點數圖作家,charting_specialist,點數圖(現代教材作者)；布林通道(P&F 結合指標)；RSI 相對強弱指數(P&F 結合指標),The Definitive Guide to Point and Figure；21st Century Point and Figure,20,點數圖現代教材代表作者，尤其適合 P&F 與其他技術指標整合分類。,https://harriman-house.com/authors/jeremy-du-plessis/21st-century-point-and-figure/9780857194428
80,彼得・史戴梅爾,J. Peter Steidlmayer,United States,,CBOT 交易員、Market Profile 創始者,indicator_creator,Market Profile(創始者)；成交量分析(價格時間分佈)；支撐阻力(價值區),Markets and Market Logic；Steidlmayer on Markets,22,Market Profile 創始者，把拍賣市場、時間價格機會與價值區概念帶入交易分析。,https://www.profiletrading.com/about/
81,詹姆斯・道爾頓,James F. Dalton,United States,,Market Profile 作家、教育者,author_practitioner,Market Profile(推廣者/作者)；價格行為(拍賣市場邏輯),Mind Over Markets；Markets in Profile,20,Market Profile 主要教材作者之一，讓拍賣市場與市場結構方法更容易被交易者使用。,https://jimdaltontrading.com/books/
82,馬克・費雪,Mark B. Fisher,United States,,交易所交易者、ACD 方法作者,practitioner_author,ACD 開盤區間法(創始者)；開盤區間突破(開盤區間)；支撐阻力(Pivot range),The Logical Trader,21,ACD 方法以開盤區間、A/C 點與 Pivot Range 判斷趨勢強弱，常見於短線/商品交易。,https://www.investopedia.com/articles/technical/04/032404.asp；https://www.investopedia.com/articles/technical/04/040704.asp
83,托比・克拉貝爾,Toby Crabel,United States,,交易者、開盤區間突破作者,practitioner_author,開盤區間突破(代表作者)；價格行為(Narrow Range 型態)；波動率(波動擴張),Day Trading with Short Term Price Patterns and Opening Range Breakout,20,短線價格型態、Narrow Range 與 Opening Range Breakout 的重要作者。,https://oxfordstrat.com/trading-strategies/toby-crabel-narrow-range-1/
84,維克多・斯佩蘭迪奧,Victor Sperandeo,United States,1945-,交易者、作家,practitioner_author,價格行為(2B 型態)；趨勢跟隨(1-2-3 反轉)；支撐阻力(趨勢線),Trader Vic: Methods of a Wall Street Master,19,Trader Vic 2B 與 1-2-3 反轉方法常被技術交易者引用，用於趨勢失敗與反轉判斷。,https://thepatternsite.com/2B.html
85,羅伯特・邁納,Robert C. Miner,United States,,技術分析軟體/教育者、作家,author_practitioner,艾略特波浪(波浪/時間價格)；費波納契時間/價格(時間價格)；動量(多週期動量),Dynamic Trading,20,Dynamic Trading 結合時間、價格、型態與動量，常被波浪與 Fibonacci 交易者引用。,https://dynamictraders.com/dt-books/；https://books.google.com/books/about/Dynamic_Trading.html?id=ymtaAAAAYAAJ；https://www.amazon.com/Dynamic-Trading-Practical-Strategies-Investors/dp/093438083X
86,卡洛琳・波羅登,Carolyn Boroden,United States,,Fibonacci 技術分析師、作家,indicator_specialist,費波納契時間/價格(時間價格專家)；支撐阻力(價格叢集)；艾略特波浪(波浪/時間),Fibonacci Trading,18,以 Fibonacci 時間與價格分析聞名，適合專屬歸檔於 Fibonacci 分析專家。,https://www.moneyshow.com/expert/ote17731/carolyn-boroden/；https://www.elliottwavetrader.net/analyst/Carolyn-Boroden
87,喬・迪納波利,Joe DiNapoli,United States,,Fibonacci 交易方法作者,indicator_specialist,費波納契時間/價格(DiNapoli Levels)；支撐阻力(價格叢集),DiNapoli Levels,19,DiNapoli Levels 是 Fibonacci 回撤/擴展的實戰化方法，常用於關鍵支撐阻力。,https://www.mql5.com/en/articles/3061；https://www.amazon.com/DiNapoli-Levels-Practical-Application-Investment/dp/1891159046；https://www.moneyshow.com/expert/2160spk/
88,艾倫・安德魯斯,Alan Andrews,United States,,Median Line / Pitchfork 方法創作者,indicator_creator,安德魯分叉線(創始者)；支撐阻力(中線/通道)；價格行為(擺動點),Andrews' Pitchfork,19,Andrews' Pitchfork 以三點繪製中線與平行通道，是支撐阻力和趨勢通道工具。,https://www.investopedia.com/articles/forex/05/andrewspitchfork.asp；https://www.optuma.com/blog/pitchforks-part-1
89,亞瑟・梅里爾,Arthur A. Merrill,United States,1906-2006,技術分析作家、統計研究者,author_researcher,圖表型態(M/W 型態)；週期分析(Filtered Waves)；回測與系統驗證(型態統計),Filtered Waves: Basic Theory；Behavior of Prices on Wall Street,18,以 M/W 型態與 Filtered Waves 著作聞名，是早期量化型圖表研究人物。,https://www.amazon.com/Filtered-Waves-Basic-Theory-Analysis/dp/0911894365；https://books.google.com/books/about/Behavior_of_Prices_on_Wall_Street.html?id=wEsUAQAAMAAJ；https://openlibrary.org/books/OL5991950M/Behavior_of_prices_on_Wall_Street.
90,漢弗萊・尼爾,Humphrey B. Neill,United States,1895-1977,市場心理/讀帶作家,author,讀帶 / 盤口判讀(經典作者)；市場情緒(逆向思考)；價格行為(市場心理),Tape Reading and Market Tactics；The Art of Contrary Thinking,18,讀帶與逆向思考經典作者，適合情緒、盤口與早期技術分析文獻分類。,https://books.google.com/books/about/Tape_Reading_and_Market_Tactics.html?id=XuiREQAAQBAJ
91,華特・迪默,Walter Deemer,United States,,技術分析師、作家,practitioner_author,趨勢跟隨(市場時機)；市場寬度(市場備忘錄)；市場情緒(市場心理),Deemer on Technical Analysis；Market Memos,19,長期市場技術分析師，著作與 Market Memos 檔案適合作為近代市場評論文獻。,https://www.walterdeemer.com/；https://deemermarketmemos.com/
92,內德・戴維斯,Ned Davis,United States,,量化市場研究機構創辦人,researcher,市場寬度(市場指標)；市場情緒(情緒模型)；實證技術分析(量化市場研究),Being Right or Making Money；The Research Driven Investor,20,Ned Davis Research 長期以廣度、情緒、總體與技術模型做市場研究，適合指標集合與量化研究分類。,https://info.ndr.com/ndr-signals/which-indicators-should-i-follow；https://www.amazon.com/Being-Right-Making-Money-Davis/dp/1118992067；https://books.google.com/books/about/Being_Right_or_Making_Money.html?id=wLhYBQAAQBAJ；https://info.ndr.com/ndr-signals
93,傑森・戈普弗特,Jason Goepfert,United States,,SentimenTrader 創辦人、Dow Award 得主,researcher,市場情緒(情緒指標)；市場寬度(基金現金/市場指標)；實證技術分析(歷史統計),"Mutual Fund Cash Reserves, The Risk-Free Rate, and Stock Market Performance",20,2004 Charles H. Dow Award 得主，長期研究投資人情緒與市場統計。,https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/
94,巴夫・多米爾,Buff Dormeier,United States,,CMT、量價研究者、Dow Award 得主,researcher_author,成交量分析(量價研究)；市場寬度(成交量廣度)；實證技術分析(Dow Award 研究),Price and Volume: Digging Deeper；Investing with Volume Analysis,22,2007 Charles H. Dow Award 得主，量價與成交量分析著作具資料庫價值。,https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/
95,安德魯・思拉舍,Andrew Thrasher,United States,,CMT、投資組合經理、Dow Award 得主,researcher,波動率(波動/風險)；市場情緒(市場警訊)；市場寬度(市場健康),Forecasting a Volatility Tsunami；The 5% Canary,20,兩度 Charles H. Dow Award 相關得主/研究者，波動率與市場風險研究值得收錄。,https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/
96,亞歷克斯・斯皮羅格魯,Alex Spiroglou,Greece / United Kingdom,,CMT、CFTe、Dow Award 得主,researcher,MACD(MACD-V)；波動率(波動標準化動量)；動量(動量研究),MACD-V: Volatility Normalised Momentum,21,2022 Charles H. Dow Award 得主，將 MACD 轉為波動標準化動量框架。,https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/
97,拉爾夫・文斯,Ralph Vince,United States,,風險/資金管理作者、Dow Award 得主,researcher_author,市場寬度(新低數研究)；交易系統(資金管理)；實證技術分析(統計研究),The Mathematics of Money Management；The Ripple Effect of Daily New Lows,22,資金管理與風險數學作者，2024 Dow Award 研究把每日新低數作為市場廣度訊號。,https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/
98,蓋瑞・安東納奇,Gary Antonacci,United States,,動量投資作者、Dow Award 得主,researcher_author,動量(雙動量)；趨勢跟隨(產業趨勢)；相對強弱 / 強勢股篩選(相對/絕對動量),Dual Momentum Investing；A Century of Profitable Industry Trends,21,動量投資作者，2025 Charles H. Dow Award 共同得主，適合動量與產業趨勢研究分類。,https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/
99,安德魯・羅,Andrew W. Lo,United States,1960-,MIT 金融學者,academic,實證技術分析(學術研究)；圖表型態(計算型型態識別)；回測與系統驗證(統計推論),Foundations of Technical Analysis；The Evolution of Technical Analysis,22,將技術分析型態以計算演算法與統計推論研究，是學術文獻中的代表人物。,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=228099；https://ideas.repec.org/p/nbr/nberwo/7613.html
100,大衛・阿隆森,David Aronson,United States,,實證技術分析作者、系統研究者,academic_practitioner,實證技術分析(代表作者)；回測與系統驗證(資料探勘校正)；交易系統(客觀規則),Evidence-Based Technical Analysis,21,主張用科學方法與統計檢定評估技術交易訊號，是建立資料庫時避免迷信指標的重要參考。,https://www.wiley.com/en-ca/Evidence-Based%2BTechnical%2BAnalysis%3A%2BApplying%2Bthe%2BScientific%2BMethod%2Band%2BStatistical%2BInference%2Bto%2BTrading%2BSignals-p-9780470008744；https://www.amazon.com/Evidence-Based-Technical-Analysis-Scientific-Statistical/dp/0470008741
