rank,expert_id,name_zh,name_en,country_region,years,category,category_zh,category_en,concepts_zh,concepts_en,research_focus_zh,research_focus_en,representative_materials_zh,representative_materials_en,contribution_summary_zh,contribution_summary_en,bilingual_research_summary_zh,bilingual_research_summary_en,material_count,source_count,high_evidence_count,book_count,paper_article_count,evidence_profile_zh,evidence_profile_en,translation_status
55,andrew-cardwell,安德魯・卡德威爾,Andrew Cardwell,United States,,indicator_specialist,指標專題專家,Indicator specialist,RSI 相對強弱指數（進階詮釋者）；動量（正/負反轉與區間規則）,Relative Strength Index (advanced interpreter); Momentum (positive/negative reversals and range rules),動量、超買超賣、背離與趨勢強弱,"momentum, overbought/oversold conditions, divergence, and trend strength",原文題名：Cardwell RSI Positive/Negative Reversals；參考來源：https://www.investopedia.com/articles/active-trading/042114/overbought-or-oversold-use-relative-strength-index-find-out.asp；參考來源：https://www.linkedin.com/in/andrew-cardwell-b318099,Cardwell RSI Positive/Negative Reversals; Reference source: https://www.investopedia.com/articles/active-trading/042114/overbought-or-oversold-use-relative-strength-index-find-out.asp; Reference source: https://www.linkedin.com/in/andrew-cardwell-b318099,以 RSI Range Rules 與 Positive/Negative Reversals 聞名，是 RSI 進階應用的重要專家。,"Andrew Cardwell (安德魯・卡德威爾) is classified as a Indicator specialist. The research/contribution focus is Relative Strength Index (advanced interpreter); Momentum (positive/negative reversals and range rules). Representative materials include Cardwell RSI Positive/Negative Reversals; Reference source: https://www.investopedia.com/articles/active-trading/042114/overbought-or-oversold-use-relative-strength-index-find-out.asp; Reference source: https://www.linkedin.com/in/andrew-cardwell-b318099. The work is useful for momentum, overbought/oversold conditions, divergence, and trend strength.",安德魯・卡德威爾（Andrew Cardwell）定位為指標專題專家。研究/貢獻重點集中在RSI 相對強弱指數（進階詮釋者）；動量（正/負反轉與區間規則）。代表資料包括原文題名：Cardwell RSI Positive/Negative Reversals；參考來源：https://www.investopedia.com/articles/active-trading/042114/overbought-or-oversold-use-relative-strength-index-find-out.asp；參考來源：https://www.linkedin.com/in/andrew-cardwell-b318099。可用於動量、超買超賣、背離與趨勢強弱。,"Andrew Cardwell (安德魯・卡德威爾) is classified as a Indicator specialist. The research/contribution focus is Relative Strength Index (advanced interpreter); Momentum (positive/negative reversals and range rules). Representative materials include Cardwell RSI Positive/Negative Reversals; Reference source: https://www.investopedia.com/articles/active-trading/042114/overbought-or-oversold-use-relative-strength-index-find-out.asp; Reference source: https://www.linkedin.com/in/andrew-cardwell-b318099. The work is useful for momentum, overbought/oversold conditions, divergence, and trend strength.",3,2,0,0,0,3 筆研究材料；2 個不同來源；0 筆高證據等級；書籍 0 筆；論文/文章 0 筆。,3 research materials; 2 distinct sources; 0 high-evidence records; 0 book records; 0 paper/article records.,normalized bilingual summary
56,constance-brown,康斯坦絲・布朗,Constance Brown,United States,,indicator_specialist,指標專題專家,Indicator specialist,RSI 相對強弱指數（進階詮釋者）；動量（Composite Index）；實證技術分析（指標組合）,Relative Strength Index (advanced interpreter); Momentum (Composite Index); Evidence-Based Technical Analysis (indicator combination),動量、超買超賣、背離與趨勢強弱；實證檢驗、規則驗證與資料探勘風險控制,"momentum, overbought/oversold conditions, divergence, and trend strength; empirical testing, rule validation, and data-mining control",《專業交易者技術分析》（1999）；參考來源：https://www.amazon.com/Technical-Analysis-Trading-Professional-Second/dp/007175914X；參考來源：https://www.barchart.com/education/technical-indicators/cmb-composite-index,Technical Analysis for the Trading Professional (1999); Reference source: https://www.amazon.com/Technical-Analysis-Trading-Professional-Second/dp/007175914X; Reference source: https://www.barchart.com/education/technical-indicators/cmb-composite-index,以 RSI 區間、Composite Index 與進階動量分析聞名，常被引用於 RSI 專題研究。,"Constance Brown (康斯坦絲・布朗) is classified as a Indicator specialist. The research/contribution focus is Relative Strength Index (advanced interpreter); Momentum (Composite Index); Evidence-Based Technical Analysis (indicator combination). Representative materials include Technical Analysis for the Trading Professional (1999); Reference source: https://www.amazon.com/Technical-Analysis-Trading-Professional-Second/dp/007175914X; Reference source: https://www.barchart.com/education/technical-indicators/cmb-composite-index. The work is useful for momentum, overbought/oversold conditions, divergence, and trend strength; empirical testing, rule validation, and data-mining control.",康斯坦絲・布朗（Constance Brown）定位為指標專題專家。研究/貢獻重點集中在RSI 相對強弱指數（進階詮釋者）；動量（Composite Index）；實證技術分析（指標組合）。代表資料包括《專業交易者技術分析》（1999）；參考來源：https://www.amazon.com/Technical-Analysis-Trading-Professional-Second/dp/007175914X；參考來源：https://www.barchart.com/education/technical-indicators/cmb-composite-index。可用於動量、超買超賣、背離與趨勢強弱；實證檢驗、規則驗證與資料探勘風險控制。,"Constance Brown (康斯坦絲・布朗) is classified as a Indicator specialist. The research/contribution focus is Relative Strength Index (advanced interpreter); Momentum (Composite Index); Evidence-Based Technical Analysis (indicator combination). Representative materials include Technical Analysis for the Trading Professional (1999); Reference source: https://www.amazon.com/Technical-Analysis-Trading-Professional-Second/dp/007175914X; Reference source: https://www.barchart.com/education/technical-indicators/cmb-composite-index. The work is useful for momentum, overbought/oversold conditions, divergence, and trend strength; empirical testing, rule validation, and data-mining control.",3,2,1,1,0,3 筆研究材料；2 個不同來源；1 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,3 research materials; 2 distinct sources; 1 high-evidence records; 1 book records; 0 paper/article records.,normalized bilingual summary
57,john-f-ehlers,約翰・艾勒斯,John F. Ehlers,United States,,indicator_creator,技術指標創作者,Indicator creator,週期分析（DSP 週期分析）；Ehlers 濾波器（濾波器）；交易系統（自適應指標）,Cycle Analysis (DSP cycle analysis); Ehlers Filters (filters); Trading Systems (adaptive indicators),週期、時間窗口與市場節奏判讀；系統交易、規則設計與回測流程,"cycles, timing windows, and market rhythm; systematic trading, rule design, and backtesting",《交易者的火箭科學》（2001）；《股票與期貨控制論分析》（2004）；參考來源：https://www.mesasoftware.com/TechnicalArticles.htm,Rocket Science for Traders (2001); Cybernetic Analysis for Stocks and Futures (2004); Reference source: https://www.mesasoftware.com/TechnicalArticles.htm,把數位訊號處理與週期濾波引入技術指標，是現代自適應與濾波指標的重要人物。,"John F. Ehlers (約翰・艾勒斯) is classified as a Indicator creator. The research/contribution focus is Cycle Analysis (DSP cycle analysis); Ehlers Filters (filters); Trading Systems (adaptive indicators). Representative materials include Rocket Science for Traders (2001); Cybernetic Analysis for Stocks and Futures (2004); Reference source: https://www.mesasoftware.com/TechnicalArticles.htm. The work is useful for cycles, timing windows, and market rhythm; systematic trading, rule design, and backtesting.",約翰・艾勒斯（John F. Ehlers）定位為技術指標創作者。研究/貢獻重點集中在週期分析（DSP 週期分析）；Ehlers 濾波器（濾波器）；交易系統（自適應指標）。代表資料包括《交易者的火箭科學》（2001）；《股票與期貨控制論分析》（2004）；參考來源：https://www.mesasoftware.com/TechnicalArticles.htm。可用於週期、時間窗口與市場節奏判讀；系統交易、規則設計與回測流程。,"John F. Ehlers (約翰・艾勒斯) is classified as a Indicator creator. The research/contribution focus is Cycle Analysis (DSP cycle analysis); Ehlers Filters (filters); Trading Systems (adaptive indicators). Representative materials include Rocket Science for Traders (2001); Cybernetic Analysis for Stocks and Futures (2004); Reference source: https://www.mesasoftware.com/TechnicalArticles.htm. The work is useful for cycles, timing windows, and market rhythm; systematic trading, rule design, and backtesting.",3,2,1,2,0,3 筆研究材料；2 個不同來源；1 筆高證據等級；書籍 2 筆；論文/文章 0 筆。,3 research materials; 2 distinct sources; 1 high-evidence records; 2 book records; 0 paper/article records.,normalized bilingual summary
58,murray-a-ruggiero-jr,穆雷・魯傑羅,Murray A. Ruggiero Jr.,United States,,system_developer,交易系統開發者,Trading-system developer,交易系統（交易系統）；回測與系統驗證（策略測試）；實證技術分析（量化規則）,Trading Systems (trading systems); Backtesting (strategy testing); Evidence-Based Technical Analysis (quantitative rules),系統交易、規則設計與回測流程；實證檢驗、規則驗證與資料探勘風險控制,"systematic trading, rule design, and backtesting; empirical testing, rule validation, and data-mining control",《控制論交易策略》（1997）；參考來源：https://guides.newman.baruch.cuny.edu/c.php?g=188442&p=1243542,Cybernetic Trading Strategies (1997); Reference source: https://guides.newman.baruch.cuny.edu/c.php?g=188442&p=1243542,專注交易系統、模糊邏輯、機器學習與技術規則，適合交易系統與回測分類。,"Murray A. Ruggiero Jr. (穆雷・魯傑羅) is classified as a Trading-system developer. The research/contribution focus is Trading Systems (trading systems); Backtesting (strategy testing); Evidence-Based Technical Analysis (quantitative rules). Representative materials include Cybernetic Trading Strategies (1997); Reference source: https://guides.newman.baruch.cuny.edu/c.php?g=188442&p=1243542. The work is useful for systematic trading, rule design, and backtesting; empirical testing, rule validation, and data-mining control.",穆雷・魯傑羅（Murray A. Ruggiero Jr.）定位為交易系統開發者。研究/貢獻重點集中在交易系統（交易系統）；回測與系統驗證（策略測試）；實證技術分析（量化規則）。代表資料包括《控制論交易策略》（1997）；參考來源：https://guides.newman.baruch.cuny.edu/c.php?g=188442&p=1243542。可用於系統交易、規則設計與回測流程；實證檢驗、規則驗證與資料探勘風險控制。,"Murray A. Ruggiero Jr. (穆雷・魯傑羅) is classified as a Trading-system developer. The research/contribution focus is Trading Systems (trading systems); Backtesting (strategy testing); Evidence-Based Technical Analysis (quantitative rules). Representative materials include Cybernetic Trading Strategies (1997); Reference source: https://guides.newman.baruch.cuny.edu/c.php?g=188442&p=1243542. The work is useful for systematic trading, rule design, and backtesting; empirical testing, rule validation, and data-mining control.",2,2,1,1,0,2 筆研究材料；2 個不同來源；1 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,2 research materials; 2 distinct sources; 1 high-evidence records; 1 book records; 0 paper/article records.,normalized bilingual summary
59,robert-pardo,羅伯特・帕多,Robert Pardo,United States,,system_developer,交易系統開發者,Trading-system developer,回測與系統驗證（系統測試）；交易系統（交易系統）；實證技術分析（樣本外驗證）,Backtesting (system testing); Trading Systems (trading systems); Evidence-Based Technical Analysis (out-of-sample validation),實證檢驗、規則驗證與資料探勘風險控制；系統交易、規則設計與回測流程,"empirical testing, rule validation, and data-mining control; systematic trading, rule design, and backtesting",《交易系統設計、測試與最佳化》（1992）；參考來源：https://guides.newman.baruch.cuny.edu/c.php?g=188442&p=1243542,"Design, Testing, and Optimization of Trading Systems (1992); Reference source: https://guides.newman.baruch.cuny.edu/c.php?g=188442&p=1243542",其交易系統設計、測試與優化著作是量化技術分析與策略驗證常見參考。,"Robert Pardo (羅伯特・帕多) is classified as a Trading-system developer. The research/contribution focus is Backtesting (system testing); Trading Systems (trading systems); Evidence-Based Technical Analysis (out-of-sample validation). Representative materials include Design, Testing, and Optimization of Trading Systems (1992); Reference source: https://guides.newman.baruch.cuny.edu/c.php?g=188442&p=1243542. The work is useful for empirical testing, rule validation, and data-mining control; systematic trading, rule design, and backtesting.",羅伯特・帕多（Robert Pardo）定位為交易系統開發者。研究/貢獻重點集中在回測與系統驗證（系統測試）；交易系統（交易系統）；實證技術分析（樣本外驗證）。代表資料包括《交易系統設計、測試與最佳化》（1992）；參考來源：https://guides.newman.baruch.cuny.edu/c.php?g=188442&p=1243542。可用於實證檢驗、規則驗證與資料探勘風險控制；系統交易、規則設計與回測流程。,"Robert Pardo (羅伯特・帕多) is classified as a Trading-system developer. The research/contribution focus is Backtesting (system testing); Trading Systems (trading systems); Evidence-Based Technical Analysis (out-of-sample validation). Representative materials include Design, Testing, and Optimization of Trading Systems (1992); Reference source: https://guides.newman.baruch.cuny.edu/c.php?g=188442&p=1243542. The work is useful for empirical testing, rule validation, and data-mining control; systematic trading, rule design, and backtesting.",2,2,1,1,0,2 筆研究材料；2 個不同來源；1 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,2 research materials; 2 distinct sources; 1 high-evidence records; 1 book records; 0 paper/article records.,normalized bilingual summary
60,howard-bandy,霍華德・班迪,Howard Bandy,United States,,system_developer,交易系統開發者,Trading-system developer,交易系統（交易系統）；回測與系統驗證（策略驗證）；實證技術分析（統計分析）,Trading Systems (trading systems); Backtesting (strategy validation); Evidence-Based Technical Analysis (statistical analysis),系統交易、規則設計與回測流程；實證檢驗、規則驗證與資料探勘風險控制,"systematic trading, rule design, and backtesting; empirical testing, rule validation, and data-mining control",《量化交易系統》（2007）；《交易系統績效建模》（2011）；參考來源：https://guides.newman.baruch.cuny.edu/c.php?g=188442&p=1243542,Quantitative Trading Systems (2007); Modeling Trading System Performance (2011); Reference source: https://guides.newman.baruch.cuny.edu/c.php?g=188442&p=1243542,以交易系統建模、風險與回測流程著作聞名，適合本地資料庫後續加入策略驗證欄位。,"Howard Bandy (霍華德・班迪) is classified as a Trading-system developer. The research/contribution focus is Trading Systems (trading systems); Backtesting (strategy validation); Evidence-Based Technical Analysis (statistical analysis). Representative materials include Quantitative Trading Systems (2007); Modeling Trading System Performance (2011); Reference source: https://guides.newman.baruch.cuny.edu/c.php?g=188442&p=1243542. The work is useful for systematic trading, rule design, and backtesting; empirical testing, rule validation, and data-mining control.",霍華德・班迪（Howard Bandy）定位為交易系統開發者。研究/貢獻重點集中在交易系統（交易系統）；回測與系統驗證（策略驗證）；實證技術分析（統計分析）。代表資料包括《量化交易系統》（2007）；《交易系統績效建模》（2011）；參考來源：https://guides.newman.baruch.cuny.edu/c.php?g=188442&p=1243542。可用於系統交易、規則設計與回測流程；實證檢驗、規則驗證與資料探勘風險控制。,"Howard Bandy (霍華德・班迪) is classified as a Trading-system developer. The research/contribution focus is Trading Systems (trading systems); Backtesting (strategy validation); Evidence-Based Technical Analysis (statistical analysis). Representative materials include Quantitative Trading Systems (2007); Modeling Trading System Performance (2011); Reference source: https://guides.newman.baruch.cuny.edu/c.php?g=188442&p=1243542. The work is useful for systematic trading, rule design, and backtesting; empirical testing, rule validation, and data-mining control.",3,2,1,2,0,3 筆研究材料；2 個不同來源；1 筆高證據等級；書籍 2 筆；論文/文章 0 筆。,3 research materials; 2 distinct sources; 1 high-evidence records; 2 book records; 0 paper/article records.,normalized bilingual summary
61,thomas-stridsman,湯瑪斯・史翠茲曼,Thomas Stridsman,Sweden / United States,,system_developer,交易系統開發者,Trading-system developer,交易系統（交易系統）；回測與系統驗證（策略測試）；趨勢跟隨（系統化趨勢）,Trading Systems (trading systems); Backtesting (strategy testing); Trend Following (systematic trend analysis),系統交易、規則設計與回測流程；實證檢驗、規則驗證與資料探勘風險控制；趨勢辨識、均線、通道與趨勢跟隨,"systematic trading, rule design, and backtesting; empirical testing, rule validation, and data-mining control; trend identification, moving averages, channels, and trend following",《有效的交易系統》（2000）；參考來源：https://guides.newman.baruch.cuny.edu/c.php?g=188442&p=1243542,Trading Systems That Work (2000); Reference source: https://guides.newman.baruch.cuny.edu/c.php?g=188442&p=1243542,交易系統設計與測試作者，對規則化技術分析與系統交易資料庫有參考價值。,"Thomas Stridsman (湯瑪斯・史翠茲曼) is classified as a Trading-system developer. The research/contribution focus is Trading Systems (trading systems); Backtesting (strategy testing); Trend Following (systematic trend analysis). Representative materials include Trading Systems That Work (2000); Reference source: https://guides.newman.baruch.cuny.edu/c.php?g=188442&p=1243542. The work is useful for systematic trading, rule design, and backtesting; empirical testing, rule validation, and data-mining control; trend identification, moving averages, channels, and trend following.",湯瑪斯・史翠茲曼（Thomas Stridsman）定位為交易系統開發者。研究/貢獻重點集中在交易系統（交易系統）；回測與系統驗證（策略測試）；趨勢跟隨（系統化趨勢）。代表資料包括《有效的交易系統》（2000）；參考來源：https://guides.newman.baruch.cuny.edu/c.php?g=188442&p=1243542。可用於系統交易、規則設計與回測流程；實證檢驗、規則驗證與資料探勘風險控制；趨勢辨識、均線、通道與趨勢跟隨。,"Thomas Stridsman (湯瑪斯・史翠茲曼) is classified as a Trading-system developer. The research/contribution focus is Trading Systems (trading systems); Backtesting (strategy testing); Trend Following (systematic trend analysis). Representative materials include Trading Systems That Work (2000); Reference source: https://guides.newman.baruch.cuny.edu/c.php?g=188442&p=1243542. The work is useful for systematic trading, rule design, and backtesting; empirical testing, rule validation, and data-mining control; trend identification, moving averages, channels, and trend following.",2,2,1,1,0,2 筆研究材料；2 個不同來源；1 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,2 research materials; 2 distinct sources; 1 high-evidence records; 1 book records; 0 paper/article records.,normalized bilingual summary
62,daryl-guppy,達利・古比,Daryl Guppy,Australia,,indicator_creator,技術指標創作者,Indicator creator,Guppy 多重移動平均（創始者）；移動平均（多均線趨勢）；趨勢跟隨（趨勢判讀）,Guppy Multiple Moving Average (creator); Moving Average (multiple moving-average trend work); Trend Following (trend interpretation),趨勢辨識、均線、通道與趨勢跟隨,"trend identification, moving averages, channels, and trend following",《交易戰術》（1997）；參考來源：https://www.investopedia.com/terms/g/guppy-multiple-moving-average.asp,Trading Tactics (1997); Reference source: https://www.investopedia.com/terms/g/guppy-multiple-moving-average.asp,Guppy Multiple Moving Average 以兩組 EMA 判讀短長期交易者行為，常見於趨勢篩選。,"Daryl Guppy (達利・古比) is classified as a Indicator creator. The research/contribution focus is Guppy Multiple Moving Average (creator); Moving Average (multiple moving-average trend work); Trend Following (trend interpretation). Representative materials include Trading Tactics (1997); Reference source: https://www.investopedia.com/terms/g/guppy-multiple-moving-average.asp. The work is useful for trend identification, moving averages, channels, and trend following.",達利・古比（Daryl Guppy）定位為技術指標創作者。研究/貢獻重點集中在Guppy 多重移動平均（創始者）；移動平均（多均線趨勢）；趨勢跟隨（趨勢判讀）。代表資料包括《交易戰術》（1997）；參考來源：https://www.investopedia.com/terms/g/guppy-multiple-moving-average.asp。可用於趨勢辨識、均線、通道與趨勢跟隨。,"Daryl Guppy (達利・古比) is classified as a Indicator creator. The research/contribution focus is Guppy Multiple Moving Average (creator); Moving Average (multiple moving-average trend work); Trend Following (trend interpretation). Representative materials include Trading Tactics (1997); Reference source: https://www.investopedia.com/terms/g/guppy-multiple-moving-average.asp. The work is useful for trend identification, moving averages, channels, and trend following.",2,2,1,1,0,2 筆研究材料；2 個不同來源；1 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,2 research materials; 2 distinct sources; 1 high-evidence records; 1 book records; 0 paper/article records.,normalized bilingual summary
63,alan-hull,艾倫・霍爾,Alan Hull,Australia,,indicator_creator,技術指標創作者,Indicator creator,Hull 移動平均（創始者）；移動平均（低滯後均線）,Hull Moving Average (creator); Moving Average (low-lag moving averages),趨勢辨識、均線、通道與趨勢跟隨,"trend identification, moving averages, channels, and trend following",原文題名：Hull Moving Average（2005）；參考來源：https://alanhull.com/the-hull-moving-average/；參考來源：https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-overlays/hull-moving-average-hma,Hull Moving Average (2005); Reference source: https://alanhull.com/the-hull-moving-average/; Reference source: https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-overlays/hull-moving-average-hma,Hull Moving Average 以降低均線滯後聞名，是均線類指標的重要改良。,"Alan Hull (艾倫・霍爾) is classified as a Indicator creator. The research/contribution focus is Hull Moving Average (creator); Moving Average (low-lag moving averages). Representative materials include Hull Moving Average (2005); Reference source: https://alanhull.com/the-hull-moving-average/; Reference source: https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-overlays/hull-moving-average-hma. The work is useful for trend identification, moving averages, channels, and trend following.",艾倫・霍爾（Alan Hull）定位為技術指標創作者。研究/貢獻重點集中在Hull 移動平均（創始者）；移動平均（低滯後均線）。代表資料包括原文題名：Hull Moving Average（2005）；參考來源：https://alanhull.com/the-hull-moving-average/；參考來源：https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-overlays/hull-moving-average-hma。可用於趨勢辨識、均線、通道與趨勢跟隨。,"Alan Hull (艾倫・霍爾) is classified as a Indicator creator. The research/contribution focus is Hull Moving Average (creator); Moving Average (low-lag moving averages). Representative materials include Hull Moving Average (2005); Reference source: https://alanhull.com/the-hull-moving-average/; Reference source: https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-overlays/hull-moving-average-hma. The work is useful for trend identification, moving averages, channels, and trend following.",3,2,0,0,0,3 筆研究材料；2 個不同來源；0 筆高證據等級；書籍 0 筆；論文/文章 0 筆。,3 research materials; 2 distinct sources; 0 high-evidence records; 0 book records; 0 paper/article records.,normalized bilingual summary
64,john-r-mcginley,約翰・麥金利,John R. McGinley,United States,,indicator_creator,技術指標創作者,Indicator creator,McGinley Dynamic（創始者）；移動平均（自適應平滑）,McGinley Dynamic (creator); Moving Average (adaptive smoothing),趨勢辨識、均線、通道與趨勢跟隨,"trend identification, moving averages, channels, and trend following",原文題名：McGinley Dynamic（1997）；參考來源：https://dotnet.stockindicators.dev/indicators/Dynamic/；參考來源：https://www.earn2trade.com/blog/mcginley-dynamic-indicator/；參考來源：https://www.investopedia.com/terms/m/mcginley-dynamic.asp,McGinley Dynamic (1997); Reference source: https://dotnet.stockindicators.dev/indicators/Dynamic/; Reference source: https://www.earn2trade.com/blog/mcginley-dynamic-indicator/; Reference source: https://www.investopedia.com/terms/m/mcginley-dynamic.asp,McGinley Dynamic 嘗試解決傳統均線跟不上市場速度的問題，屬均線改良指標。,"John R. McGinley (約翰・麥金利) is classified as a Indicator creator. The research/contribution focus is McGinley Dynamic (creator); Moving Average (adaptive smoothing). Representative materials include McGinley Dynamic (1997); Reference source: https://dotnet.stockindicators.dev/indicators/Dynamic/; Reference source: https://www.earn2trade.com/blog/mcginley-dynamic-indicator/; Reference source: https://www.investopedia.com/terms/m/mcginley-dynamic.asp. The work is useful for trend identification, moving averages, channels, and trend following.",約翰・麥金利（John R. McGinley）定位為技術指標創作者。研究/貢獻重點集中在McGinley Dynamic（創始者）；移動平均（自適應平滑）。代表資料包括原文題名：McGinley Dynamic（1997）；參考來源：https://dotnet.stockindicators.dev/indicators/Dynamic/；參考來源：https://www.earn2trade.com/blog/mcginley-dynamic-indicator/；參考來源：https://www.investopedia.com/terms/m/mcginley-dynamic.asp。可用於趨勢辨識、均線、通道與趨勢跟隨。,"John R. McGinley (約翰・麥金利) is classified as a Indicator creator. The research/contribution focus is McGinley Dynamic (creator); Moving Average (adaptive smoothing). Representative materials include McGinley Dynamic (1997); Reference source: https://dotnet.stockindicators.dev/indicators/Dynamic/; Reference source: https://www.earn2trade.com/blog/mcginley-dynamic-indicator/; Reference source: https://www.investopedia.com/terms/m/mcginley-dynamic.asp. The work is useful for trend identification, moving averages, channels, and trend following.",4,3,0,0,0,4 筆研究材料；3 個不同來源；0 筆高證據等級；書籍 0 筆；論文/文章 0 筆。,4 research materials; 3 distinct sources; 0 high-evidence records; 0 book records; 0 paper/article records.,normalized bilingual summary
65,patrick-g-mulloy,派翠克・馬洛伊,Patrick G. Mulloy,United States,,indicator_creator,技術指標創作者,Indicator creator,DEMA / TEMA（創始者）；移動平均（低滯後均線）,Double/Triple Exponential Moving Average (creator); Moving Average (low-lag moving averages),趨勢辨識、均線、通道與趨勢跟隨,"trend identification, moving averages, channels, and trend following",原文題名：Smoothing Data with Faster Moving Averages（1994）；參考來源：https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-overlays/triple-exponential-moving-average-tema；參考來源：https://www.investopedia.com/ask/answers/041315/why-triple-exponential-moving-average-tema-important-traders-and-analysts.asp,Smoothing Data with Faster Moving Averages (1994); Reference source: https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-overlays/triple-exponential-moving-average-tema; Reference source: https://www.investopedia.com/ask/answers/041315/why-triple-exponential-moving-average-tema-important-traders-and-analysts.asp,DEMA/TEMA 改良均線滯後問題，在交易平台中常見。,"Patrick G. Mulloy (派翠克・馬洛伊) is classified as a Indicator creator. The research/contribution focus is Double/Triple Exponential Moving Average (creator); Moving Average (low-lag moving averages). Representative materials include Smoothing Data with Faster Moving Averages (1994); Reference source: https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-overlays/triple-exponential-moving-average-tema; Reference source: https://www.investopedia.com/ask/answers/041315/why-triple-exponential-moving-average-tema-important-traders-and-analysts.asp. The work is useful for trend identification, moving averages, channels, and trend following.",派翠克・馬洛伊（Patrick G. Mulloy）定位為技術指標創作者。研究/貢獻重點集中在DEMA / TEMA（創始者）；移動平均（低滯後均線）。代表資料包括原文題名：Smoothing Data with Faster Moving Averages（1994）；參考來源：https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-overlays/triple-exponential-moving-average-tema；參考來源：https://www.investopedia.com/ask/answers/041315/why-triple-exponential-moving-average-tema-important-traders-and-analysts.asp。可用於趨勢辨識、均線、通道與趨勢跟隨。,"Patrick G. Mulloy (派翠克・馬洛伊) is classified as a Indicator creator. The research/contribution focus is Double/Triple Exponential Moving Average (creator); Moving Average (low-lag moving averages). Representative materials include Smoothing Data with Faster Moving Averages (1994); Reference source: https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-overlays/triple-exponential-moving-average-tema; Reference source: https://www.investopedia.com/ask/answers/041315/why-triple-exponential-moving-average-tema-important-traders-and-analysts.asp. The work is useful for trend identification, moving averages, channels, and trend following.",3,3,1,0,1,3 筆研究材料；3 個不同來源；1 筆高證據等級；書籍 0 筆；論文/文章 1 筆。,3 research materials; 3 distinct sources; 1 high-evidence records; 0 book records; 1 paper/article records.,normalized bilingual summary
66,jack-k-hutson,傑克・哈特森,Jack K. Hutson,United States,,indicator_creator,技術指標創作者,Indicator creator,TRIX（創始者）；動量（三重平滑動量）,Triple Exponential Average (creator); Momentum (triple-smoothed momentum),動量、超買超賣、背離與趨勢強弱,"momentum, overbought/oversold conditions, divergence, and trend strength",原文題名：Good TRIX（1980）；參考來源：https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-indicators/trix,Good TRIX (1980); Reference source: https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-indicators/trix,TRIX 創作者，將三重 EMA 平滑後的變化率用於趨勢/動量訊號。,"Jack K. Hutson (傑克・哈特森) is classified as a Indicator creator. The research/contribution focus is Triple Exponential Average (creator); Momentum (triple-smoothed momentum). Representative materials include Good TRIX (1980); Reference source: https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-indicators/trix. The work is useful for momentum, overbought/oversold conditions, divergence, and trend strength.",傑克・哈特森（Jack K. Hutson）定位為技術指標創作者。研究/貢獻重點集中在TRIX（創始者）；動量（三重平滑動量）。代表資料包括原文題名：Good TRIX（1980）；參考來源：https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-indicators/trix。可用於動量、超買超賣、背離與趨勢強弱。,"Jack K. Hutson (傑克・哈特森) is classified as a Indicator creator. The research/contribution focus is Triple Exponential Average (creator); Momentum (triple-smoothed momentum). Representative materials include Good TRIX (1980); Reference source: https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-indicators/trix. The work is useful for momentum, overbought/oversold conditions, divergence, and trend strength.",2,2,1,0,1,2 筆研究材料；2 個不同來源；1 筆高證據等級；書籍 0 筆；論文/文章 1 筆。,2 research materials; 2 distinct sources; 1 high-evidence records; 0 book records; 1 paper/article records.,normalized bilingual summary
