concept_slug,concept_zh,concept_en,concept_family,expert_count,has_common_research,winner_expert_ids,winner_zh,winner_en,winner_score,runner_up_zh,runner_up_en,judgment_zh,judgment_en,basis_zh,basis_en,caveat_zh,caveat_en
market_timing,市場時機,Market Timing,market_timing,1,no,tom-demark,湯姆・迪馬克,Tom DeMark,78.0,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,湯姆・迪馬克是目前資料庫中唯一對應「市場時機」的核心專家。,Tom DeMark is the only expert currently mapped to Market Timing in this database.,評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
mcclellan-oscillator,McClellan Oscillator,McClellan Oscillator,breadth,2,yes,sherman-mcclellan;marian-mcclellan,謝爾曼・麥克萊倫、瑪麗安・麥克萊倫,Sherman McClellan / Marian McClellan,109.2,共同核心專家；不另設補充角色,Joint core experts; no separate runner-up assigned,謝爾曼・麥克萊倫、瑪麗安・麥克萊倫並列優勝；此指標/方法屬共同創作或共同權威，應並讀其資料。,Sherman McClellan / Marian McClellan are joint winners; this indicator/method is best treated as a shared authority.,評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
mcginley-dynamic,McGinley Dynamic,McGinley Dynamic,trend,1,no,john-r-mcginley,約翰・麥金利,John R. McGinley,101.95,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,約翰・麥金利是目前資料庫中唯一對應「McGinley Dynamic」的核心專家。,John R. McGinley is the only expert currently mapped to McGinley Dynamic in this database.,評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
mfi,MFI 資金流量指標,Money Flow Index,volume,2,yes,gene-quong;avrum-soudack,金・匡、阿夫魯姆・蘇達克,Gene Quong / Avrum Soudack,108.85,共同核心專家；不另設補充角色,Joint core experts; no separate runner-up assigned,金・匡、阿夫魯姆・蘇達克並列優勝；此指標/方法屬共同創作或共同權威，應並讀其資料。,Gene Quong / Avrum Soudack are joint winners; this indicator/method is best treated as a shared authority.,評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
momentum,動量,Momentum,momentum,12,yes,larry-williams,拉瑞・威廉斯,Larry Williams,76.4,羅伯特・科爾比、馬丁・普林格,Robert W. Colby / Martin J. Pring,拉瑞・威廉斯優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為羅伯特・科爾比、馬丁・普林格。,"Larry Williams wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Robert W. Colby / Martin J. Pring.",評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
moving-average,移動平均,Moving Average,trend,8,yes,gerald-appel,傑拉德・阿佩爾,Gerald Appel,76.4,約翰・墨菲、羅伯特・科爾比,John J. Murphy / Robert W. Colby,傑拉德・阿佩爾優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為約翰・墨菲、羅伯特・科爾比。,"Gerald Appel wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: John J. Murphy / Robert W. Colby.",評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
obv,OBV 能量潮,On-Balance Volume,volume,1,no,joseph-granville,約瑟夫・格蘭維爾,Joseph Granville,105.1,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,約瑟夫・格蘭維爾是目前資料庫中唯一對應「OBV 能量潮」的核心專家。,Joseph Granville is the only expert currently mapped to On-Balance Volume in this database.,評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
opening-range-breakout,開盤區間突破,Opening Range Breakout,breakout,3,yes,toby-crabel,托比・克拉貝爾,Toby Crabel,77.7,琳達・布拉德福德・拉什克、馬克・費雪,Linda Bradford Raschke / Mark B. Fisher,托比・克拉貝爾優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為琳達・布拉德福德・拉什克、馬克・費雪。,"Toby Crabel wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Linda Bradford Raschke / Mark B. Fisher.",評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
parabolic-sar,Parabolic SAR,Parabolic SAR,trend,1,no,j-welles-wilder-jr,威爾斯・威爾德,J. Welles Wilder Jr.,106.55,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,威爾斯・威爾德是目前資料庫中唯一對應「Parabolic SAR」的核心專家。,J. Welles Wilder Jr. is the only expert currently mapped to Parabolic SAR in this database.,評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
point-and-figure,點數圖,Point and Figure,charting,3,yes,a-w-cohen,A・W・科恩,A. W. Cohen,79.95,湯瑪斯・多爾西、傑瑞米・杜普萊西斯,Thomas J. Dorsey / Jeremy du Plessis,A・W・科恩優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為湯瑪斯・多爾西、傑瑞米・杜普萊西斯。,"A. W. Cohen wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Thomas J. Dorsey / Jeremy du Plessis.",評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
price-action,價格行為,Price Action,charting,11,yes,munehisa-homma,本間宗久,Munehisa Homma,67.9,艾倫・安德魯斯、傑克・施瓦格,Alan Andrews / Jack D. Schwager,本間宗久優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為艾倫・安德魯斯、傑克・施瓦格。,"Munehisa Homma wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Alan Andrews / Jack D. Schwager.",評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
relative-strength,相對強弱 / 強勢股篩選,Relative Strength,stock_selection,8,yes,william-j-o-neil,威廉・歐尼爾,William J. O'Neil,74.4,查爾斯・柯克派翠克二世、蓋瑞・安東納奇,Charles D. Kirkpatrick II / Gary Antonacci,威廉・歐尼爾優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為查爾斯・柯克派翠克二世、蓋瑞・安東納奇。,"William J. O'Neil wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Charles D. Kirkpatrick II / Gary Antonacci.",評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
risk,風險 / 回撤,Risk / Drawdown,risk,2,yes,peter-g-martin;byron-mccann,彼得・馬丁、拜倫・麥肯,Peter G. Martin / Byron McCann,67.6,共同核心專家；不另設補充角色,Joint core experts; no separate runner-up assigned,彼得・馬丁、拜倫・麥肯並列優勝；此指標/方法屬共同創作或共同權威，應並讀其資料。,Peter G. Martin / Byron McCann are joint winners; this indicator/method is best treated as a shared authority.,評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
rsi,RSI 相對強弱指數,Relative Strength Index,momentum,5,yes,j-welles-wilder-jr,威爾斯・威爾德,J. Welles Wilder Jr.,115.55,拉倫斯・康納斯、康斯坦絲・布朗,Laurence A. Connors / Constance Brown,威爾斯・威爾德優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為拉倫斯・康納斯、康斯坦絲・布朗。,"J. Welles Wilder Jr. wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Laurence A. Connors / Constance Brown.",評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
sentiment,市場情緒,Sentiment,sentiment,8,yes,jason-goepfert,傑森・戈普弗特,Jason Goepfert,72.8,內德・戴維斯、艾德森・古爾德,Ned Davis / Edson Gould,傑森・戈普弗特優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為內德・戴維斯、艾德森・古爾德。,"Jason Goepfert wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Ned Davis / Edson Gould.",評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
stage-analysis,四階段分析,Stage Analysis,trend,1,no,stan-weinstein,史坦・溫斯坦,Stan Weinstein,81.25,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,史坦・溫斯坦是目前資料庫中唯一對應「四階段分析」的核心專家。,Stan Weinstein is the only expert currently mapped to Stage Analysis in this database.,評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
stochastic,隨機指標,Stochastic Oscillator,momentum,1,no,george-c-lane,喬治・藍恩,George C. Lane,89.25,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,喬治・藍恩是目前資料庫中唯一對應「隨機指標」的核心專家。,George C. Lane is the only expert currently mapped to Stochastic Oscillator in this database.,評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
stochastic-rsi,隨機 RSI,Stochastic RSI,momentum,2,yes,tushar-s-chande,圖沙・昌德,Tushar S. Chande,116.2,史丹利・克羅爾,Stanley Kroll,圖沙・昌德優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為史丹利・克羅爾。,"Tushar S. Chande wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Stanley Kroll.",評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
stock_selection,股票選股,Stock Selection,stock_selection,1,no,charles-d-kirkpatrick-ii,查爾斯・柯克派翠克二世,Charles D. Kirkpatrick II,76.6,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,查爾斯・柯克派翠克二世是目前資料庫中唯一對應「股票選股」的核心專家。,Charles D. Kirkpatrick II is the only expert currently mapped to Stock Selection in this database.,評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
supertrend,SuperTrend,SuperTrend,trend,1,no,olivier-seban,奧利維耶・塞班,Olivier Seban,99.15,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,奧利維耶・塞班是目前資料庫中唯一對應「SuperTrend」的核心專家。,Olivier Seban is the only expert currently mapped to SuperTrend in this database.,評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
support-resistance,支撐阻力,Support and Resistance,charting,12,yes,robert-d-edwards;john-magee,羅伯特・愛德華茲、約翰・麥基,Robert D. Edwards / John Magee,76.4,威廉・江恩、彼得・史戴梅爾,W. D. Gann / J. Peter Steidlmayer,羅伯特・愛德華茲、約翰・麥基並列優勝；此指標/方法屬共同創作或共同權威，應並讀其資料。,Robert D. Edwards / John Magee are joint winners; this indicator/method is best treated as a shared authority.,評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
systems-trading,交易系統,Trading Systems,systems,15,yes,perry-j-kaufman,佩里・考夫曼,Perry J. Kaufman,84.75,拉倫斯・康納斯、約翰・艾勒斯,Laurence A. Connors / John F. Ehlers,佩里・考夫曼優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為拉倫斯・康納斯、約翰・艾勒斯。,"Perry J. Kaufman wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Laurence A. Connors / John F. Ehlers.",評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
tape-reading,讀帶 / 盤口判讀,Tape Reading,charting,3,yes,jesse-livermore,傑西・李佛摩,Jesse Livermore,74.65,理查・威科夫、漢弗萊・尼爾,Richard D. Wyckoff / Humphrey B. Neill,傑西・李佛摩優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為理查・威科夫、漢弗萊・尼爾。,"Jesse Livermore wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Richard D. Wyckoff / Humphrey B. Neill.",評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
tema-dema,DEMA / TEMA,Double/Triple Exponential Moving Average,trend,1,no,patrick-g-mulloy,派翠克・馬洛伊,Patrick G. Mulloy,101.45,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,派翠克・馬洛伊是目前資料庫中唯一對應「DEMA / TEMA」的核心專家。,Patrick G. Mulloy is the only expert currently mapped to Double/Triple Exponential Moving Average in this database.,評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
trend-following,趨勢跟隨,Trend Following,trend,20,yes,richard-donchian,理查・唐奇安,Richard Donchian,97.3,威廉・彼得・漢密爾頓、達利・古比,William Peter Hamilton / Daryl Guppy,理查・唐奇安優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為威廉・彼得・漢密爾頓、達利・古比。,"Richard Donchian wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: William Peter Hamilton / Daryl Guppy.",評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
trin-arms-index,TRIN / Arms Index,Arms Index,breadth,1,no,richard-w-arms-jr,理查・阿姆斯,Richard W. Arms Jr.,100.2,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,理查・阿姆斯是目前資料庫中唯一對應「TRIN / Arms Index」的核心專家。,Richard W. Arms Jr. is the only expert currently mapped to Arms Index in this database.,評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
trix,TRIX,Triple Exponential Average,momentum,1,no,jack-k-hutson,傑克・哈特森,Jack K. Hutson,98.65,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,傑克・哈特森是目前資料庫中唯一對應「TRIX」的核心專家。,Jack K. Hutson is the only expert currently mapped to Triple Exponential Average in this database.,評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
ulcer-index,Ulcer Index,Ulcer Index,risk,2,yes,peter-g-martin;byron-mccann,彼得・馬丁、拜倫・麥肯,Peter G. Martin / Byron McCann,106.6,共同核心專家；不另設補充角色,Joint core experts; no separate runner-up assigned,彼得・馬丁、拜倫・麥肯並列優勝；此指標/方法屬共同創作或共同權威，應並讀其資料。,Peter G. Martin / Byron McCann are joint winners; this indicator/method is best treated as a shared authority.,評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
vcp,VCP 波動收縮形態,Volatility Contraction Pattern,charting,1,no,mark-minervini,馬克・米勒維尼,Mark Minervini,83.45,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,馬克・米勒維尼是目前資料庫中唯一對應「VCP 波動收縮形態」的核心專家。,Mark Minervini is the only expert currently mapped to Volatility Contraction Pattern in this database.,評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
vidya,VIDYA 動態平均,Variable Index Dynamic Average,trend,2,yes,tushar-s-chande,圖沙・昌德,Tushar S. Chande,119.2,史丹利・克羅爾,Stanley Kroll,圖沙・昌德優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為史丹利・克羅爾。,"Tushar S. Chande wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Stanley Kroll.",評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
volatility,波動率,Volatility,volatility,4,yes,john-bollinger,約翰・布林格,John Bollinger,85.7,安德魯・思拉舍、亞歷克斯・斯皮羅格魯,Andrew Thrasher / Alex Spiroglou,約翰・布林格優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為安德魯・思拉舍、亞歷克斯・斯皮羅格魯。,"John Bollinger wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Andrew Thrasher / Alex Spiroglou.",評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
volume-analysis,成交量分析,Volume Analysis,volume,13,yes,richard-d-wyckoff,理查・威科夫,Richard D. Wyckoff,87.8,約瑟夫・格蘭維爾、巴夫・多米爾,Joseph Granville / Buff Dormeier,理查・威科夫優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為約瑟夫・格蘭維爾、巴夫・多米爾。,"Richard D. Wyckoff wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Joseph Granville / Buff Dormeier.",評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
volume-spread-analysis,VSA 量價差分析,Volume Spread Analysis,volume,1,no,tom-williams,湯姆・威廉斯,Tom Williams,83.4,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,湯姆・威廉斯是目前資料庫中唯一對應「VSA 量價差分析」的核心專家。,Tom Williams is the only expert currently mapped to Volume Spread Analysis in this database.,評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
vortex-indicator,Vortex 指標,Vortex Indicator,trend,2,yes,etienne-botes;douglas-siepman,艾蒂安・博特斯、道格拉斯・西普曼,Etienne Botes / Douglas Siepman,111.5,共同核心專家；不另設補充角色,Joint core experts; no separate runner-up assigned,艾蒂安・博特斯、道格拉斯・西普曼並列優勝；此指標/方法屬共同創作或共同權威，應並讀其資料。,Etienne Botes / Douglas Siepman are joint winners; this indicator/method is best treated as a shared authority.,評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
vwap,VWAP / Anchored VWAP,VWAP / Anchored VWAP,volume,1,no,brian-shannon,布萊恩・香農,Brian Shannon,71.4,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,布萊恩・香農是目前資料庫中唯一對應「VWAP / Anchored VWAP」的核心專家。,Brian Shannon is the only expert currently mapped to VWAP / Anchored VWAP in this database.,評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
