concept_slug,concept_zh,concept_en,family,family_zh,family_en,expert_count,winner_zh,winner_en,runner_up_zh,runner_up_en,judgment_zh,judgment_en,all_experts_zh,all_experts_en,top_materials_zh,top_materials_en,material_count,integrated_use_zh,integrated_use_en
evidence-based-ta,實證技術分析,Evidence-Based Technical Analysis,research,實證研究與回測,Research and Backtesting,12,大衛・阿隆森,David Aronson,安德魯・羅、巴夫・多米爾,Andrew W. Lo / Buff Dormeier,大衛・阿隆森優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為安德魯・羅、巴夫・多米爾。,"David Aronson wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Andrew W. Lo / Buff Dormeier.",大衛・阿隆森（代表作者）；安德魯・羅（學術研究）；巴夫・多米爾（Dow Award 研究）；茱莉・達爾奎斯特（研究者）；拉爾夫・文斯（統計研究）；內德・戴維斯（量化市場研究）；傑森・戈普弗特（歷史統計）；康斯坦絲・布朗（指標組合）；霍華德・班迪（統計分析）；羅伯特・帕多（樣本外驗證）；羅伯特・科爾比（指標彙整）；穆雷・魯傑羅（量化規則）,David Aronson (代表作者); Andrew W. Lo (academic research); Buff Dormeier (Dow Award research); Julie R. Dahlquist (researcher); Ralph Vince (statistical research); Ned Davis (quantitative market research); Jason Goepfert (historical statistics); Constance Brown (indicator combination); Howard Bandy (statistical analysis); Robert Pardo (out-of-sample validation); Robert W. Colby (indicator compendium); Murray A. Ruggiero Jr. (quantitative rules),《技術分析：金融市場技術分析師完整資源》 - 茱莉・達爾奎斯特；原文題名：Analyzing Gaps for Profitable Trading Strategies - 茱莉・達爾奎斯特；《技術市場指標百科全書》 - 羅伯特・科爾比；《專業交易者技術分析》 - 康斯坦絲・布朗；《控制論交易策略》 - 穆雷・魯傑羅；《交易系統設計、測試與最佳化》 - 羅伯特・帕多,"Technical Analysis: The Complete Resource for Financial Market Technicians - Julie R. Dahlquist; Analyzing Gaps for Profitable Trading Strategies - Julie R. Dahlquist; The Encyclopedia of Technical Market Indicators - Robert W. Colby; Technical Analysis for the Trading Professional - Constance Brown; Cybernetic Trading Strategies - Murray A. Ruggiero Jr.; Design, Testing, and Optimization of Trading Systems - Robert Pardo",18,實證技術分析屬於實證研究與回測，優先研究大衛・阿隆森，再用其他專家資料交叉驗證。,Evidence-Based Technical Analysis belongs to Research and Backtesting; start with David Aronson and use other experts for cross-checking.
fibonacci,費波納契時間/價格,Fibonacci Time and Price,support_resistance,支撐阻力,Support and Resistance,3,喬・迪納波利,Joe DiNapoli,卡洛琳・波羅登、羅伯特・邁納,Carolyn Boroden / Robert C. Miner,喬・迪納波利優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為卡洛琳・波羅登、羅伯特・邁納。,"Joe DiNapoli wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Carolyn Boroden / Robert C. Miner.",喬・迪納波利（DiNapoli Levels）；卡洛琳・波羅登（時間價格專家）；羅伯特・邁納（時間價格）,Joe DiNapoli (DiNapoli Levels); Carolyn Boroden (time-price specialist); Robert C. Miner (time and price analysis),《動態交易》 - 羅伯特・邁納；《費波納契交易》 - 卡洛琳・波羅登；《DiNapoli 水平》 - 喬・迪納波利,Dynamic Trading - Robert C. Miner; Fibonacci Trading - Carolyn Boroden; DiNapoli Levels - Joe DiNapoli,3,費波納契時間/價格屬於支撐阻力，優先研究喬・迪納波利，再用其他專家資料交叉驗證。,Fibonacci Time and Price belongs to Support and Resistance; start with Joe DiNapoli and use other experts for cross-checking.
force-index,Force Index,Force Index,volume,成交量與資金流,Volume and Money Flow,1,亞歷山大・艾爾德,Alexander Elder,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,亞歷山大・艾爾德是目前資料庫中唯一對應「Force Index」的核心專家。,Alexander Elder is the only expert currently mapped to Force Index in this database.,亞歷山大・艾爾德（創始者）,Alexander Elder (creator),《以交易為生》 - 亞歷山大・艾爾德,Trading for a Living - Alexander Elder,1,Force Index屬於成交量與資金流，優先研究亞歷山大・艾爾德，再用其他專家資料交叉驗證。,Force Index belongs to Volume and Money Flow; start with Alexander Elder and use other experts for cross-checking.
gann,江恩理論,Gann Methods,cycle,週期分析,Cycle Analysis,1,威廉・江恩,W. D. Gann,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,威廉・江恩是目前資料庫中唯一對應「江恩理論」的核心專家。,W. D. Gann is the only expert currently mapped to Gann Methods in this database.,威廉・江恩（創始者）,W. D. Gann (creator),《股市讀帶真相》 - 威廉・江恩；《華爾街四十五年》 - 威廉・江恩,Truth of the Stock Tape - W. D. Gann; 45 Years in Wall Street - W. D. Gann,2,江恩理論屬於週期分析，優先研究威廉・江恩，再用其他專家資料交叉驗證。,Gann Methods belongs to Cycle Analysis; start with W. D. Gann and use other experts for cross-checking.
guppy-mma,Guppy 多重移動平均,Guppy Multiple Moving Average,trend,趨勢分析,Trend Analysis,1,達利・古比,Daryl Guppy,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,達利・古比是目前資料庫中唯一對應「Guppy 多重移動平均」的核心專家。,Daryl Guppy is the only expert currently mapped to Guppy Multiple Moving Average in this database.,達利・古比（創始者）,Daryl Guppy (creator),《交易戰術》 - 達利・古比,Trading Tactics - Daryl Guppy,1,Guppy 多重移動平均屬於趨勢分析，優先研究達利・古比，再用其他專家資料交叉驗證。,Guppy Multiple Moving Average belongs to Trend Analysis; start with Daryl Guppy and use other experts for cross-checking.
hull-ma,Hull 移動平均,Hull Moving Average,trend,趨勢分析,Trend Analysis,1,艾倫・霍爾,Alan Hull,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,艾倫・霍爾是目前資料庫中唯一對應「Hull 移動平均」的核心專家。,Alan Hull is the only expert currently mapped to Hull Moving Average in this database.,艾倫・霍爾（創始者）,Alan Hull (creator),原文題名：Hull Moving Average - 艾倫・霍爾,Hull Moving Average - Alan Hull,1,Hull 移動平均屬於趨勢分析，優先研究艾倫・霍爾，再用其他專家資料交叉驗證。,Hull Moving Average belongs to Trend Analysis; start with Alan Hull and use other experts for cross-checking.
ichimoku,一目均衡表,Ichimoku Kinko Hyo,trend,趨勢分析,Trend Analysis,1,細田悟一,Goichi Hosoda,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,細田悟一是目前資料庫中唯一對應「一目均衡表」的核心專家。,Goichi Hosoda is the only expert currently mapped to Ichimoku Kinko Hyo in this database.,細田悟一（創始者）,Goichi Hosoda (creator),《一目均衡表》 - 細田悟一,Ichimoku Kinko Hyo - Goichi Hosoda,1,一目均衡表屬於趨勢分析，優先研究細田悟一，再用其他專家資料交叉驗證。,Ichimoku Kinko Hyo belongs to Trend Analysis; start with Goichi Hosoda and use other experts for cross-checking.
kama,KAMA 考夫曼自適應均線,Kaufman Adaptive Moving Average,trend,趨勢分析,Trend Analysis,1,佩里・考夫曼,Perry J. Kaufman,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,佩里・考夫曼是目前資料庫中唯一對應「KAMA 考夫曼自適應均線」的核心專家。,Perry J. Kaufman is the only expert currently mapped to Kaufman Adaptive Moving Average in this database.,佩里・考夫曼（創始者）,Perry J. Kaufman (creator),《交易系統與方法》 - 佩里・考夫曼；《更聰明的交易》 - 佩里・考夫曼,Trading Systems and Methods - Perry J. Kaufman; Smarter Trading - Perry J. Kaufman,2,KAMA 考夫曼自適應均線屬於趨勢分析，優先研究佩里・考夫曼，再用其他專家資料交叉驗證。,Kaufman Adaptive Moving Average belongs to Trend Analysis; start with Perry J. Kaufman and use other experts for cross-checking.
macd,MACD,Moving Average Convergence/Divergence,momentum,動量指標,Momentum,2,傑拉德・阿佩爾,Gerald Appel,亞歷克斯・斯皮羅格魯,Alex Spiroglou,傑拉德・阿佩爾優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為亞歷克斯・斯皮羅格魯。,"Gerald Appel wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Alex Spiroglou.",傑拉德・阿佩爾（創始者）；亞歷克斯・斯皮羅格魯（MACD-V）,Gerald Appel (creator); Alex Spiroglou (MACD-V),《技術分析：主動投資者的強力工具》 - 傑拉德・阿佩爾；原文題名：MACD-V: Volatility Normalised Momentum - 亞歷克斯・斯皮羅格魯,Technical Analysis: Power Tools for Active Investors - Gerald Appel; MACD-V: Volatility Normalised Momentum - Alex Spiroglou,2,MACD屬於動量指標，優先研究傑拉德・阿佩爾，再用其他專家資料交叉驗證。,Moving Average Convergence/Divergence belongs to Momentum; start with Gerald Appel and use other experts for cross-checking.
market-profile,Market Profile,Market Profile,auction_market,拍賣市場,Auction Market,2,彼得・史戴梅爾,J. Peter Steidlmayer,詹姆斯・道爾頓,James F. Dalton,彼得・史戴梅爾優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為詹姆斯・道爾頓。,"J. Peter Steidlmayer wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: James F. Dalton.",彼得・史戴梅爾（創始者）；詹姆斯・道爾頓（推廣者/作者）,J. Peter Steidlmayer (creator); James F. Dalton (promoter/author),《市場與市場邏輯》 - 彼得・史戴梅爾；《史戴梅爾談市場》 - 彼得・史戴梅爾；《市場之上》 - 詹姆斯・道爾頓；《市場輪廓》 - 詹姆斯・道爾頓,Markets and Market Logic - J. Peter Steidlmayer; Steidlmayer on Markets - J. Peter Steidlmayer; Mind Over Markets - James F. Dalton; Markets in Profile - James F. Dalton,4,Market Profile屬於拍賣市場，優先研究彼得・史戴梅爾，再用其他專家資料交叉驗證。,Market Profile belongs to Auction Market; start with J. Peter Steidlmayer and use other experts for cross-checking.
market_timing,市場時機,Market Timing,market_timing,市場時機,Market Timing,1,湯姆・迪馬克,Tom DeMark,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,湯姆・迪馬克是目前資料庫中唯一對應「市場時機」的核心專家。,Tom DeMark is the only expert currently mapped to Market Timing in this database.,湯姆・迪馬克（市場時機）,Tom DeMark (market timing),《技術分析新科學》 - 湯姆・迪馬克；原文題名：DeMARK Indicators - 湯姆・迪馬克,The New Science of Technical Analysis - Tom DeMark; DeMARK Indicators - Tom DeMark,2,市場時機屬於市場時機，優先研究湯姆・迪馬克，再用其他專家資料交叉驗證。,Market Timing belongs to Market Timing; start with Tom DeMark and use other experts for cross-checking.
mcclellan-oscillator,McClellan Oscillator,McClellan Oscillator,breadth,市場寬度,Market Breadth,2,謝爾曼・麥克萊倫、瑪麗安・麥克萊倫,Sherman McClellan / Marian McClellan,共同核心專家；不另設補充角色,Joint core experts; no separate runner-up assigned,謝爾曼・麥克萊倫、瑪麗安・麥克萊倫並列優勝；此指標/方法屬共同創作或共同權威，應並讀其資料。,Sherman McClellan / Marian McClellan are joint winners; this indicator/method is best treated as a shared authority.,謝爾曼・麥克萊倫（共同創始者）；瑪麗安・麥克萊倫（共同創始者）,Sherman McClellan (co-creator); Marian McClellan (co-creator),《獲利型態》 - 謝爾曼・麥克萊倫；《獲利型態》 - 瑪麗安・麥克萊倫,Patterns for Profit - Sherman McClellan; Patterns for Profit - Marian McClellan,2,McClellan Oscillator屬於市場寬度，優先研究謝爾曼・麥克萊倫、瑪麗安・麥克萊倫，再用其他專家資料交叉驗證。,McClellan Oscillator belongs to Market Breadth; start with Sherman McClellan / Marian McClellan and use other experts for cross-checking.
mcginley-dynamic,McGinley Dynamic,McGinley Dynamic,trend,趨勢分析,Trend Analysis,1,約翰・麥金利,John R. McGinley,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,約翰・麥金利是目前資料庫中唯一對應「McGinley Dynamic」的核心專家。,John R. McGinley is the only expert currently mapped to McGinley Dynamic in this database.,約翰・麥金利（創始者）,John R. McGinley (creator),原文題名：McGinley Dynamic - 約翰・麥金利,McGinley Dynamic - John R. McGinley,1,McGinley Dynamic屬於趨勢分析，優先研究約翰・麥金利，再用其他專家資料交叉驗證。,McGinley Dynamic belongs to Trend Analysis; start with John R. McGinley and use other experts for cross-checking.
mfi,MFI 資金流量指標,Money Flow Index,volume,成交量與資金流,Volume and Money Flow,2,金・匡、阿夫魯姆・蘇達克,Gene Quong / Avrum Soudack,共同核心專家；不另設補充角色,Joint core experts; no separate runner-up assigned,金・匡、阿夫魯姆・蘇達克並列優勝；此指標/方法屬共同創作或共同權威，應並讀其資料。,Gene Quong / Avrum Soudack are joint winners; this indicator/method is best treated as a shared authority.,金・匡（共同創始者）；阿夫魯姆・蘇達克（共同創始者）,Gene Quong (co-creator); Avrum Soudack (co-creator),原文題名：Money Flow Index - 金・匡；原文題名：Money Flow Index - 阿夫魯姆・蘇達克,Money Flow Index - Gene Quong; Money Flow Index - Avrum Soudack,2,MFI 資金流量指標屬於成交量與資金流，優先研究金・匡、阿夫魯姆・蘇達克，再用其他專家資料交叉驗證。,Money Flow Index belongs to Volume and Money Flow; start with Gene Quong / Avrum Soudack and use other experts for cross-checking.
momentum,動量,Momentum,momentum,動量指標,Momentum,12,拉瑞・威廉斯,Larry Williams,羅伯特・科爾比、馬丁・普林格,Robert W. Colby / Martin J. Pring,拉瑞・威廉斯優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為羅伯特・科爾比、馬丁・普林格。,"Larry Williams wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Robert W. Colby / Martin J. Pring.",拉瑞・威廉斯（短線動量）；羅伯特・科爾比（百科作者）；馬丁・普林格（指標與教材作者）；艾德溫・科波克（長期動量）；亞歷克斯・斯皮羅格魯（動量研究）；喬治・藍恩（動量先行觀念）；史蒂文・阿契利斯（百科作者）；蓋瑞・安東納奇（雙動量）；傑克・哈特森（三重平滑動量）；康斯坦絲・布朗（Composite Index）；羅伯特・邁納（多週期動量）；安德魯・卡德威爾（正/負反轉與區間規則）,Larry Williams (short-term momentum); Robert W. Colby (encyclopedia author); Martin J. Pring (indicator and textbook author); Edwin S. Coppock (long-term momentum); Alex Spiroglou (momentum research); George C. Lane (momentum-leading concept); Steven B. Achelis (encyclopedia author); Gary Antonacci (dual momentum); Jack K. Hutson (triple-smoothed momentum); Constance Brown (Composite Index); Robert C. Miner (multi-timeframe momentum); Andrew Cardwell (positive/negative reversals and range rules),《技術分析詳解》 - 馬丁・普林格；《技術分析 A 到 Z》 - 史蒂文・阿契利斯；《技術市場指標百科全書》 - 羅伯特・科爾比；原文題名：Lane's Stochastics - 喬治・藍恩；《我去年如何交易商品賺進一百萬美元》 - 拉瑞・威廉斯；原文題名：The Ripple Effect of Daily New Lows - 拉瑞・威廉斯,Technical Analysis Explained - Martin J. Pring; Technical Analysis from A to Z - Steven B. Achelis; The Encyclopedia of Technical Market Indicators - Robert W. Colby; Lane's Stochastics - George C. Lane; How I Made One Million Dollars Last Year Trading Commodities - Larry Williams; The Ripple Effect of Daily New Lows - Larry Williams,14,動量屬於動量指標，優先研究拉瑞・威廉斯，再用其他專家資料交叉驗證。,Momentum belongs to Momentum; start with Larry Williams and use other experts for cross-checking.
moving-average,移動平均,Moving Average,trend,趨勢分析,Trend Analysis,8,傑拉德・阿佩爾,Gerald Appel,約翰・墨菲、羅伯特・科爾比,John J. Murphy / Robert W. Colby,傑拉德・阿佩爾優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為約翰・墨菲、羅伯特・科爾比。,"Gerald Appel wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: John J. Murphy / Robert W. Colby.",傑拉德・阿佩爾（動量均線）；約翰・墨菲（教材作者）；羅伯特・科爾比（百科作者）；約翰・麥金利（自適應平滑）；派翠克・馬洛伊（低滯後均線）；達利・古比（多均線趨勢）；史蒂文・阿契利斯（百科作者）；艾倫・霍爾（低滯後均線）,Gerald Appel (momentum moving average); John J. Murphy (textbook author); Robert W. Colby (encyclopedia author); John R. McGinley (adaptive smoothing); Patrick G. Mulloy (low-lag moving averages); Daryl Guppy (multiple moving-average trend work); Steven B. Achelis (encyclopedia author); Alan Hull (low-lag moving averages),《金融市場技術分析》 - 約翰・墨菲；《技術分析 A 到 Z》 - 史蒂文・阿契利斯；《技術市場指標百科全書》 - 羅伯特・科爾比；《技術分析：主動投資者的強力工具》 - 傑拉德・阿佩爾；《交易戰術》 - 達利・古比；原文題名：Hull Moving Average - 艾倫・霍爾,Technical Analysis of the Financial Markets - John J. Murphy; Technical Analysis from A to Z - Steven B. Achelis; The Encyclopedia of Technical Market Indicators - Robert W. Colby; Technical Analysis: Power Tools for Active Investors - Gerald Appel; Trading Tactics - Daryl Guppy; Hull Moving Average - Alan Hull,8,移動平均屬於趨勢分析，優先研究傑拉德・阿佩爾，再用其他專家資料交叉驗證。,Moving Average belongs to Trend Analysis; start with Gerald Appel and use other experts for cross-checking.
obv,OBV 能量潮,On-Balance Volume,volume,成交量與資金流,Volume and Money Flow,1,約瑟夫・格蘭維爾,Joseph Granville,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,約瑟夫・格蘭維爾是目前資料庫中唯一對應「OBV 能量潮」的核心專家。,Joseph Granville is the only expert currently mapped to On-Balance Volume in this database.,約瑟夫・格蘭維爾（創始者）,Joseph Granville (creator),《格蘭維爾股市獲利新鑰》 - 約瑟夫・格蘭維爾,Granville's New Key to Stock Market Profits - Joseph Granville,1,OBV 能量潮屬於成交量與資金流，優先研究約瑟夫・格蘭維爾，再用其他專家資料交叉驗證。,On-Balance Volume belongs to Volume and Money Flow; start with Joseph Granville and use other experts for cross-checking.
opening-range-breakout,開盤區間突破,Opening Range Breakout,breakout,突破交易,Breakout,3,托比・克拉貝爾,Toby Crabel,琳達・布拉德福德・拉什克、馬克・費雪,Linda Bradford Raschke / Mark B. Fisher,托比・克拉貝爾優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為琳達・布拉德福德・拉什克、馬克・費雪。,"Toby Crabel wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Linda Bradford Raschke / Mark B. Fisher.",托比・克拉貝爾（代表作者）；琳達・布拉德福德・拉什克（短線策略）；馬克・費雪（開盤區間）,Toby Crabel (代表作者); Linda Bradford Raschke (short-term strategies); Mark B. Fisher (opening range),《街頭智慧交易策略》 - 琳達・布拉德福德・拉什克；《邏輯交易者》 - 馬克・費雪；《短線價格型態與開盤區間突破日內交易》 - 托比・克拉貝爾,Street Smarts - Linda Bradford Raschke; The Logical Trader - Mark B. Fisher; Day Trading with Short Term Price Patterns and Opening Range Breakout - Toby Crabel,3,開盤區間突破屬於突破交易，優先研究托比・克拉貝爾，再用其他專家資料交叉驗證。,Opening Range Breakout belongs to Breakout; start with Toby Crabel and use other experts for cross-checking.
parabolic-sar,Parabolic SAR,Parabolic SAR,trend,趨勢分析,Trend Analysis,1,威爾斯・威爾德,J. Welles Wilder Jr.,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,威爾斯・威爾德是目前資料庫中唯一對應「Parabolic SAR」的核心專家。,J. Welles Wilder Jr. is the only expert currently mapped to Parabolic SAR in this database.,威爾斯・威爾德（創始者）,J. Welles Wilder Jr. (creator),《技術交易系統新概念》 - 威爾斯・威爾德,New Concepts in Technical Trading Systems - J. Welles Wilder Jr.,1,Parabolic SAR屬於趨勢分析，優先研究威爾斯・威爾德，再用其他專家資料交叉驗證。,Parabolic SAR belongs to Trend Analysis; start with J. Welles Wilder Jr. and use other experts for cross-checking.
point-and-figure,點數圖,Point and Figure,charting,圖表分析,Charting,3,A・W・科恩,A. W. Cohen,湯瑪斯・多爾西、傑瑞米・杜普萊西斯,Thomas J. Dorsey / Jeremy du Plessis,A・W・科恩優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為湯瑪斯・多爾西、傑瑞米・杜普萊西斯。,"A. W. Cohen wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Thomas J. Dorsey / Jeremy du Plessis.",A・W・科恩（3-box reversal 推廣者）；湯瑪斯・多爾西（現代推廣者）；傑瑞米・杜普萊西斯（現代教材作者）,A. W. Cohen (3-box reversal promoter); Thomas J. Dorsey (modern promoter); Jeremy du Plessis (modern textbook author),《如何使用點數圖三點反轉法交易股票》 - A・W・科恩；《點數圖分析》 - 湯瑪斯・多爾西；《點數圖權威指南》 - 傑瑞米・杜普萊西斯；《二十一世紀點數圖》 - 傑瑞米・杜普萊西斯,How to Use the Three-Point Reversal Method of Point & Figure Stock Market Trading - A. W. Cohen; Point & Figure Charting - Thomas J. Dorsey; The Definitive Guide to Point and Figure - Jeremy du Plessis; 21st Century Point and Figure - Jeremy du Plessis,4,點數圖屬於圖表分析，優先研究A・W・科恩，再用其他專家資料交叉驗證。,Point and Figure belongs to Charting; start with A. W. Cohen and use other experts for cross-checking.
price-action,價格行為,Price Action,charting,圖表分析,Charting,11,本間宗久,Munehisa Homma,艾倫・安德魯斯、傑克・施瓦格,Alan Andrews / Jack D. Schwager,本間宗久優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為艾倫・安德魯斯、傑克・施瓦格。,"Munehisa Homma wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Alan Andrews / Jack D. Schwager.",本間宗久（市場心理）；艾倫・安德魯斯（擺動點）；傑克・施瓦格（交易者訪談）；琳達・布拉德福德・拉什克（短線交易）；漢弗萊・尼爾（市場心理）；布萊恩・香農（多週期分析）；大衛・韋斯（價格量能）；詹姆斯・道爾頓（拍賣市場邏輯）；托比・克拉貝爾（Narrow Range 型態）；傑西・李佛摩（價格行為）；維克多・斯佩蘭迪奧（2B 型態）,Munehisa Homma (market psychology); Alan Andrews (swing points); Jack D. Schwager (trader interviews); Linda Bradford Raschke (short-term trading); Humphrey B. Neill (market psychology); Brian Shannon (multi-timeframe analysis); David Weis (price and volume action); James F. Dalton (auction-market logic); Toby Crabel (Narrow Range pattern); Jesse Livermore (price action); Victor Sperandeo (2B pattern),《如何交易股票》 - 傑西・李佛摩；《技術分析入門》 - 傑克・施瓦格；原文題名：Market Wizards - 傑克・施瓦格；原文題名：Sakata Rules - 本間宗久；《多時間框架技術分析》 - 布萊恩・香農；《用 Anchored VWAP 提高交易收益》 - 布萊恩・香農,How to Trade in Stocks - Jesse Livermore; Getting Started in Technical Analysis - Jack D. Schwager; Market Wizards - Jack D. Schwager; Sakata Rules - Munehisa Homma; Technical Analysis Using Multiple Timeframes - Brian Shannon; Maximum Trading Gains with Anchored VWAP - Brian Shannon,15,價格行為屬於圖表分析，優先研究本間宗久，再用其他專家資料交叉驗證。,Price Action belongs to Charting; start with Munehisa Homma and use other experts for cross-checking.
relative-strength,相對強弱 / 強勢股篩選,Relative Strength,stock_selection,股票選股,Stock Selection,8,威廉・歐尼爾,William J. O'Neil,查爾斯・柯克派翠克二世、蓋瑞・安東納奇,Charles D. Kirkpatrick II / Gary Antonacci,威廉・歐尼爾優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為查爾斯・柯克派翠克二世、蓋瑞・安東納奇。,"William J. O'Neil wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Charles D. Kirkpatrick II / Gary Antonacci.",威廉・歐尼爾（成長股選股）；查爾斯・柯克派翠克二世（研究者）；蓋瑞・安東納奇（相對/絕對動量）；路易絲・山田（機構技術研究）；馬克・米勒維尼（SEPA 強勢股）；史坦・溫斯坦（強勢股）；湯瑪斯・多爾西（P&F 相對強弱）；尼古拉斯・達瓦斯（強勢股）,William J. O'Neil (growth-stock selection); Charles D. Kirkpatrick II (researcher); Gary Antonacci (relative/absolute momentum); Louise Yamada (機構技術研究); Mark Minervini (SEPA relative-strength stocks); Stan Weinstein (relative-strength stocks); Thomas J. Dorsey (P&F relative strength); Nicolas Darvas (relative-strength stocks),《技術分析：金融市場技術分析師完整資源》 - 查爾斯・柯克派翠克二世；原文題名：Stock Selection: A Test of Relative Stock Values Reported Over 17 1/2 Years - 查爾斯・柯克派翠克二世；《市場魔法》 - 路易絲・山田；《牛熊市場獲利祕訣》 - 史坦・溫斯坦；《如何在股票中賺錢》 - 威廉・歐尼爾；《像股市魔法師一樣交易》 - 馬克・米勒維尼,Technical Analysis: The Complete Resource for Financial Market Technicians - Charles D. Kirkpatrick II; Stock Selection: A Test of Relative Stock Values Reported Over 17 1/2 Years - Charles D. Kirkpatrick II; Market Magic: Riding the Greatest Bull Market of the Century - Louise Yamada; Secrets for Profiting in Bull and Bear Markets - Stan Weinstein; How to Make Money in Stocks - William J. O'Neil; Trade Like a Stock Market Wizard - Mark Minervini,11,相對強弱 / 強勢股篩選屬於股票選股，優先研究威廉・歐尼爾，再用其他專家資料交叉驗證。,Relative Strength belongs to Stock Selection; start with William J. O'Neil and use other experts for cross-checking.
risk,風險 / 回撤,Risk / Drawdown,risk,風險與回撤,Risk and Drawdown,2,彼得・馬丁、拜倫・麥肯,Peter G. Martin / Byron McCann,共同核心專家；不另設補充角色,Joint core experts; no separate runner-up assigned,彼得・馬丁、拜倫・麥肯並列優勝；此指標/方法屬共同創作或共同權威，應並讀其資料。,Peter G. Martin / Byron McCann are joint winners; this indicator/method is best treated as a shared authority.,彼得・馬丁（下行風險）；拜倫・麥肯（下行風險）,Peter G. Martin (downside risk); Byron McCann (downside risk),《富達基金投資指南》 - 彼得・馬丁；《富達基金投資指南》 - 拜倫・麥肯,The Investor's Guide to Fidelity Funds - Peter G. Martin; The Investor's Guide to Fidelity Funds - Byron McCann,2,風險 / 回撤屬於風險與回撤，優先研究彼得・馬丁、拜倫・麥肯，再用其他專家資料交叉驗證。,Risk / Drawdown belongs to Risk and Drawdown; start with Peter G. Martin / Byron McCann and use other experts for cross-checking.
rsi,RSI 相對強弱指數,Relative Strength Index,momentum,動量指標,Momentum,5,威爾斯・威爾德,J. Welles Wilder Jr.,拉倫斯・康納斯、康斯坦絲・布朗,Laurence A. Connors / Constance Brown,威爾斯・威爾德優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為拉倫斯・康納斯、康斯坦絲・布朗。,"J. Welles Wilder Jr. wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Laurence A. Connors / Constance Brown.",威爾斯・威爾德（創始者）；拉倫斯・康納斯（短線改良）；康斯坦絲・布朗（進階詮釋者）；安德魯・卡德威爾（進階詮釋者）；傑瑞米・杜普萊西斯（P&F 結合指標）,J. Welles Wilder Jr. (creator); Laurence A. Connors (short-term modification); Constance Brown (advanced interpreter); Andrew Cardwell (advanced interpreter); Jeremy du Plessis (P&F-integrated indicator work),《技術交易系統新概念》 - 威爾斯・威爾德；《街頭智慧交易策略》 - 拉倫斯・康納斯；《有效的短線交易策略》 - 拉倫斯・康納斯；原文題名：ConnorsRSI - 拉倫斯・康納斯；原文題名：Cardwell RSI Positive/Negative Reversals - 安德魯・卡德威爾；《專業交易者技術分析》 - 康斯坦絲・布朗,New Concepts in Technical Trading Systems - J. Welles Wilder Jr.; Street Smarts - Laurence A. Connors; Short Term Trading Strategies That Work - Laurence A. Connors; ConnorsRSI - Laurence A. Connors; Cardwell RSI Positive/Negative Reversals - Andrew Cardwell; Technical Analysis for the Trading Professional - Constance Brown,8,RSI 相對強弱指數屬於動量指標，優先研究威爾斯・威爾德，再用其他專家資料交叉驗證。,Relative Strength Index belongs to Momentum; start with J. Welles Wilder Jr. and use other experts for cross-checking.
