concept_slug,concept_zh,concept_en,concept_family,expert_count_for_concept,comparison_rank,verdict_zh,verdict_en,expert_id,expert_rank_global,name_zh,name_en,relation_zh,relation_en,category,category_zh,category_en,comparison_score,expert_total_score,material_count,source_count,high_evidence_count,book_count,paper_article_count,strengths_zh,strengths_en,limitations_zh,limitations_en,difference_zh,difference_en,representative_materials_zh,representative_materials_en,evidence_profile_zh,evidence_profile_en
cup-with-handle,杯柄形態,Cup With Handle,charting,2,1,優勝,Winner,william-j-o-neil,49,威廉・歐尼爾,William J. O'Neil,推廣/定義者,promoter/definer,author_practitioner,作者兼實戰交易者,Author-practitioner,75.4,24,3,2,0,1,0,有代表性書籍或教材可追溯；在原創性、資料覆蓋與專屬性綜合評分最高,"supported by traceable books or textbook material; highest combined score for originality, evidence coverage, and indicator specificity",偏整理或推廣，原創性通常低於指標創作者；優勝判斷是以本資料庫目前來源與評分規則為基準,"more synthetic/promotional, usually less original than the indicator creator; winner judgment is based on the current database sources and scoring rules",威廉・歐尼爾的角色是「推廣/定義者」，重點在股票選股、相對強弱與成長股篩選；圖表型態、價格結構與支撐阻力。,"William J. O'Neil is classified here as promoter/definer; the focus is stock selection, relative strength, and growth-stock screening; chart patterns, price structure, and support/resistance.",《如何在股票中賺錢》（1988）；參考來源：https://www.fidelity.com/learning-center/trading-investing/technical-analysis/technical-indicator-guide/cup-with-handle；參考來源：https://www.investopedia.com/terms/c/canslim.asp,How to Make Money in Stocks (1988); Reference source: https://www.fidelity.com/learning-center/trading-investing/technical-analysis/technical-indicator-guide/cup-with-handle; Reference source: https://www.investopedia.com/terms/c/canslim.asp,3 筆研究材料；2 個不同來源；0 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,3 research materials; 2 distinct sources; 0 high-evidence records; 1 book records; 0 paper/article records.
cup-with-handle,杯柄形態,Cup With Handle,charting,2,2,參考角色,Reference role,mark-minervini,50,馬克・米勒維尼,Mark Minervini,成長股型態,growth-stock pattern work,practitioner_author,實戰交易者兼作者,Practitioner-author,65.45,23,3,2,1,2,0,有代表性書籍或教材可追溯；高證據等級來源較多,supported by traceable books or textbook material; has multiple high-evidence sources,適合搭配優勝者資料交叉驗證,best used for cross-checking against the winning authority,馬克・米勒維尼的角色是「成長股型態」，重點在圖表型態、價格結構與支撐阻力；股票選股、相對強弱與成長股篩選。,"Mark Minervini is classified here as growth-stock pattern work; the focus is chart patterns, price structure, and support/resistance; stock selection, relative strength, and growth-stock screening.",《像股市魔法師一樣交易》（2013）；《像冠軍一樣思考與交易》（2017）；參考來源：https://trendspider.com/learning-center/volatility-contraction-pattern-vcp/,Trade Like a Stock Market Wizard (2013); Think and Trade Like a Champion (2017); Reference source: https://trendspider.com/learning-center/volatility-contraction-pattern-vcp/,3 筆研究材料；2 個不同來源；1 筆高證據等級；書籍 2 筆；論文/文章 0 筆。,3 research materials; 2 distinct sources; 1 high-evidence records; 2 book records; 0 paper/article records.
cycle-analysis,週期分析,Cycle Analysis,cycle,6,1,優勝,Winner,john-f-ehlers,57,約翰・艾勒斯,John F. Ehlers,DSP 週期分析,DSP cycle analysis,indicator_creator,技術指標創作者,Indicator creator,84.5,24,3,2,1,2,0,有代表性書籍或教材可追溯；高證據等級來源較多；在原創性、資料覆蓋與專屬性綜合評分最高,"supported by traceable books or textbook material; has multiple high-evidence sources; highest combined score for originality, evidence coverage, and indicator specificity",適合搭配優勝者資料交叉驗證；優勝判斷是以本資料庫目前來源與評分規則為基準,best used for cross-checking against the winning authority; winner judgment is based on the current database sources and scoring rules,約翰・艾勒斯的角色是「DSP 週期分析」，重點在週期、時間窗口與市場節奏判讀；系統交易、規則設計與回測流程。,"John F. Ehlers is classified here as DSP cycle analysis; the focus is cycles, timing windows, and market rhythm; systematic trading, rule design, and backtesting.",《交易者的火箭科學》（2001）；《股票與期貨控制論分析》（2004）；參考來源：https://www.mesasoftware.com/TechnicalArticles.htm,Rocket Science for Traders (2001); Cybernetic Analysis for Stocks and Futures (2004); Reference source: https://www.mesasoftware.com/TechnicalArticles.htm,3 筆研究材料；2 個不同來源；1 筆高證據等級；書籍 2 筆；論文/文章 0 筆。,3 research materials; 2 distinct sources; 1 high-evidence records; 2 book records; 0 paper/article records.
cycle-analysis,週期分析,Cycle Analysis,cycle,6,2,重要補充,Important complement,w-d-gann,6,威廉・江恩,W. D. Gann,週期分析,cycle analysis,foundation,理論奠基者,Foundational theorist,70.7,22,3,3,2,2,0,有代表性書籍或教材可追溯；高證據等級來源較多,supported by traceable books or textbook material; has multiple high-evidence sources,適合搭配優勝者資料交叉驗證,best used for cross-checking against the winning authority,威廉・江恩的角色是「週期分析」，重點在週期、時間窗口與市場節奏判讀；圖表型態、價格結構與支撐阻力。,"W. D. Gann is classified here as cycle analysis; the focus is cycles, timing windows, and market rhythm; chart patterns, price structure, and support/resistance.",《股市讀帶真相》（1923）；《華爾街四十五年》（1941）；參考來源：https://en.wikipedia.org/wiki/William_Delbert_Gann,Truth of the Stock Tape (1923); 45 Years in Wall Street (1941); Reference source: https://en.wikipedia.org/wiki/William_Delbert_Gann,3 筆研究材料；3 個不同來源；2 筆高證據等級；書籍 2 筆；論文/文章 0 筆。,3 research materials; 3 distinct sources; 2 high-evidence records; 2 book records; 0 paper/article records.
cycle-analysis,週期分析,Cycle Analysis,cycle,6,3,參考角色,Reference role,ralph-nelson-elliott,7,拉爾夫・尼爾森・艾略特,Ralph Nelson Elliott,市場循環,market cycles,foundation,理論奠基者,Foundational theorist,67.3,22,3,2,0,1,0,有代表性書籍或教材可追溯,supported by traceable books or textbook material,適合搭配優勝者資料交叉驗證,best used for cross-checking against the winning authority,拉爾夫・尼爾森・艾略特的角色是「市場循環」，重點在波浪、分形結構與時間價格路徑；週期、時間窗口與市場節奏判讀。,"Ralph Nelson Elliott is classified here as market cycles; the focus is waves, fractal structure, and time-price paths; cycles, timing windows, and market rhythm.",《波浪原理》（1938）；參考來源：https://en.wikipedia.org/wiki/Ralph_Nelson_Elliott；參考來源：https://www.investopedia.com/terms/e/elliottwavetheory.asp,The Wave Principle (1938); Reference source: https://en.wikipedia.org/wiki/Ralph_Nelson_Elliott; Reference source: https://www.investopedia.com/terms/e/elliottwavetheory.asp,3 筆研究材料；2 個不同來源；0 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,3 research materials; 2 distinct sources; 0 high-evidence records; 1 book records; 0 paper/article records.
cycle-analysis,週期分析,Cycle Analysis,cycle,6,4,參考角色,Reference role,donald-r-lambert,26,唐納德・蘭伯特,Donald R. Lambert,商品週期,commodity cycles,indicator_creator,技術指標創作者,Indicator creator,66.7,20,2,2,1,0,1,有論文或研究文章支撐；高證據等級來源較多,supported by papers or research articles; has multiple high-evidence sources,適合搭配優勝者資料交叉驗證,best used for cross-checking against the winning authority,唐納德・蘭伯特的角色是「商品週期」，重點在動量、超買超賣、背離與趨勢強弱；週期、時間窗口與市場節奏判讀。,"Donald R. Lambert is classified here as commodity cycles; the focus is momentum, overbought/oversold conditions, divergence, and trend strength; cycles, timing windows, and market rhythm.",原文題名：Commodity Channel Index（1980）；參考來源：https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-indicators/commodity-channel-index-cci,Commodity Channel Index (1980); Reference source: https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-indicators/commodity-channel-index-cci,2 筆研究材料；2 個不同來源；1 筆高證據等級；書籍 0 筆；論文/文章 1 筆。,2 research materials; 2 distinct sources; 1 high-evidence records; 0 book records; 1 paper/article records.
cycle-analysis,週期分析,Cycle Analysis,cycle,6,5,參考角色,Reference role,arthur-a-merrill,89,亞瑟・梅里爾,Arthur A. Merrill,Filtered Waves,Filtered Waves,author_researcher,著作與研究兼具,Author-researcher,65.7,18,5,3,2,2,0,有代表性書籍或教材可追溯；高證據等級來源較多,supported by traceable books or textbook material; has multiple high-evidence sources,適合搭配優勝者資料交叉驗證,best used for cross-checking against the winning authority,亞瑟・梅里爾的角色是「Filtered Waves」，重點在圖表型態、價格結構與支撐阻力；週期、時間窗口與市場節奏判讀；實證檢驗、規則驗證與資料探勘風險控制。,"Arthur A. Merrill is classified here as Filtered Waves; the focus is chart patterns, price structure, and support/resistance; cycles, timing windows, and market rhythm; empirical testing, rule validation, and data-mining control.",《華爾街價格行為》（1966）；《過濾波浪：基本理論》（1977）；參考來源：https://books.google.com/books/about/Behavior_of_Prices_on_Wall_Street.html?id=wEsUAQAAMAAJ；參考來源：https://openlibrary.org/books/OL5991950M/Behavior_of_prices_on_Wall_Street.,Behavior of Prices on Wall Street (1966); Filtered Waves: Basic Theory (1977); Reference source: https://books.google.com/books/about/Behavior_of_Prices_on_Wall_Street.html?id=wEsUAQAAMAAJ; Reference source: https://openlibrary.org/books/OL5991950M/Behavior_of_prices_on_Wall_Street.,5 筆研究材料；3 個不同來源；2 筆高證據等級；書籍 2 筆；論文/文章 0 筆。,5 research materials; 3 distinct sources; 2 high-evidence records; 2 book records; 0 paper/article records.
cycle-analysis,週期分析,Cycle Analysis,cycle,6,6,參考角色,Reference role,martin-j-pring,12,馬丁・普林格,Martin J. Pring,景氣/市場循環,business/market cycles,author,經典著作作者,Classic author,63.45,23,3,2,1,1,0,有代表性書籍或教材可追溯；高證據等級來源較多,supported by traceable books or textbook material; has multiple high-evidence sources,適合搭配優勝者資料交叉驗證,best used for cross-checking against the winning authority,馬丁・普林格的角色是「景氣/市場循環」，重點在動量、超買超賣、背離與趨勢強弱；週期、時間窗口與市場節奏判讀；趨勢辨識、均線、通道與趨勢跟隨。,"Martin J. Pring is classified here as business/market cycles; the focus is momentum, overbought/oversold conditions, divergence, and trend strength; cycles, timing windows, and market rhythm; trend identification, moving averages, channels, and trend following.",《技術分析詳解》（1980）；參考來源：https://www.amazon.com/Technical-Analysis-Explained-Successful-Investment/dp/1260466020；參考來源：https://www.investopedia.com/articles/personal-finance/090916/top-5-books-learn-technical-analysis.asp,Technical Analysis Explained (1980); Reference source: https://www.amazon.com/Technical-Analysis-Explained-Successful-Investment/dp/1260466020; Reference source: https://www.investopedia.com/articles/personal-finance/090916/top-5-books-learn-technical-analysis.asp,3 筆研究材料；2 個不同來源；1 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,3 research materials; 2 distinct sources; 1 high-evidence records; 1 book records; 0 paper/article records.
demark-indicators,DeMark 指標,DeMARK Indicators,market_timing,1,1,優勝,Winner,tom-demark,34,湯姆・迪馬克,Tom DeMark,創始者,creator,indicator_creator,技術指標創作者,Indicator creator,106.0,24,4,2,0,1,0,最接近原始定義，適合作為該指標/方法的基準版本；有代表性書籍或教材可追溯；在原創性、資料覆蓋與專屬性綜合評分最高,"closest to the original definition and best used as the benchmark version; supported by traceable books or textbook material; highest combined score for originality, evidence coverage, and indicator specificity",原始版本仍需結合後續實證與現代市場條件；優勝判斷是以本資料庫目前來源與評分規則為基準,the original version should still be checked against later evidence and modern markets; winner judgment is based on the current database sources and scoring rules,湯姆・迪馬克的角色是「創始者」，重點在市場時機、轉折與進出場判斷。,"Tom DeMark is classified here as creator; the focus is market timing, turns, and entry/exit decisions.",《技術分析新科學》（1994）；原文題名：DeMARK Indicators；參考來源：https://demark.com/about/；參考來源：https://demark.com/demark-indicators/,The New Science of Technical Analysis (1994); DeMARK Indicators; Reference source: https://demark.com/about/; Reference source: https://demark.com/demark-indicators/,4 筆研究材料；2 個不同來源；0 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,4 research materials; 2 distinct sources; 0 high-evidence records; 1 book records; 0 paper/article records.
donchian-channel,唐奇安通道,Donchian Channel,trend,1,1,優勝,Winner,richard-donchian,23,理查・唐奇安,Richard Donchian,創始者,creator,indicator_creator,技術指標創作者,Indicator creator,102.3,22,3,2,0,0,0,最接近原始定義，適合作為該指標/方法的基準版本；在原創性、資料覆蓋與專屬性綜合評分最高,"closest to the original definition and best used as the benchmark version; highest combined score for originality, evidence coverage, and indicator specificity",原始版本仍需結合後續實證與現代市場條件；優勝判斷是以本資料庫目前來源與評分規則為基準,the original version should still be checked against later evidence and modern markets; winner judgment is based on the current database sources and scoring rules,理查・唐奇安的角色是「創始者」，重點在趨勢辨識、均線、通道與趨勢跟隨。,"Richard Donchian is classified here as creator; the focus is trend identification, moving averages, channels, and trend following.",原文題名：Commodity Trend Timing（1960）；參考來源：https://en.wikipedia.org/wiki/Richard_Donchian；參考來源：https://www.investopedia.com/donchian-channels-formula-8415235,Commodity Trend Timing (1960); Reference source: https://en.wikipedia.org/wiki/Richard_Donchian; Reference source: https://www.investopedia.com/donchian-channels-formula-8415235,3 筆研究材料；2 個不同來源；0 筆高證據等級；書籍 0 筆；論文/文章 0 筆。,3 research materials; 2 distinct sources; 0 high-evidence records; 0 book records; 0 paper/article records.
dow-theory,道氏理論,Dow Theory,foundation,7,1,優勝,Winner,charles-h-dow,1,查爾斯・道,Charles H. Dow,奠基者,founder,foundation,理論奠基者,Foundational theorist,109.35,23,3,2,0,0,0,最接近原始定義，適合作為該指標/方法的基準版本；在原創性、資料覆蓋與專屬性綜合評分最高,"closest to the original definition and best used as the benchmark version; highest combined score for originality, evidence coverage, and indicator specificity",原始版本仍需結合後續實證與現代市場條件；優勝判斷是以本資料庫目前來源與評分規則為基準,the original version should still be checked against later evidence and modern markets; winner judgment is based on the current database sources and scoring rules,查爾斯・道的角色是「奠基者」，重點在技術分析基本理論與市場趨勢框架；趨勢辨識、均線、通道與趨勢跟隨。,"Charles H. Dow is classified here as founder; the focus is core technical-analysis theory and trend frameworks; trend identification, moving averages, channels, and trend following.",《華爾街日報》市場平均指數評論（1899）；參考來源：https://www.investopedia.com/articles/financial-theory/10/pioneers-technical-analysis.asp；參考來源：https://www.investopedia.com/terms/d/dowtheory.asp,Wall Street Journal editorials on market averages (1899); Reference source: https://www.investopedia.com/articles/financial-theory/10/pioneers-technical-analysis.asp; Reference source: https://www.investopedia.com/terms/d/dowtheory.asp,3 筆研究材料；2 個不同來源；0 筆高證據等級；書籍 0 筆；論文/文章 0 筆。,3 research materials; 2 distinct sources; 0 high-evidence records; 0 book records; 0 paper/article records.
dow-theory,道氏理論,Dow Theory,foundation,7,2,強力候選,Strong candidate,william-peter-hamilton,2,威廉・彼得・漢密爾頓,William Peter Hamilton,主要詮釋者,principal interpreter,foundation,理論奠基者,Foundational theorist,82.05,21,4,3,0,1,0,有代表性書籍或教材可追溯,supported by traceable books or textbook material,適合搭配優勝者資料交叉驗證,best used for cross-checking against the winning authority,威廉・彼得・漢密爾頓的角色是「主要詮釋者」，重點在技術分析基本理論與市場趨勢框架；趨勢辨識、均線、通道與趨勢跟隨。,"William Peter Hamilton is classified here as principal interpreter; the focus is core technical-analysis theory and trend frameworks; trend identification, moving averages, channels, and trend following.",《股票市場晴雨表》（1922）；參考來源：https://archive.org/details/stockmarketbarom00hami；參考來源：https://openlibrary.org/books/OL7031671M/The_stock_market_barometer；參考來源：https://papers.ssrn.com/sol3/papers.cfm?abstract_id=58690,The Stock Market Barometer (1922); Reference source: https://archive.org/details/stockmarketbarom00hami; Reference source: https://openlibrary.org/books/OL7031671M/The_stock_market_barometer; Reference source: https://papers.ssrn.com/sol3/papers.cfm?abstract_id=58690,4 筆研究材料；3 個不同來源；0 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,4 research materials; 3 distinct sources; 0 high-evidence records; 1 book records; 0 paper/article records.
dow-theory,道氏理論,Dow Theory,foundation,7,3,強力候選,Strong candidate,robert-rhea,3,羅伯特・里亞,Robert Rhea,系統化整理者,systematizer,foundation,理論奠基者,Foundational theorist,80.35,21,3,2,1,1,0,有代表性書籍或教材可追溯；高證據等級來源較多,supported by traceable books or textbook material; has multiple high-evidence sources,適合搭配優勝者資料交叉驗證,best used for cross-checking against the winning authority,羅伯特・里亞的角色是「系統化整理者」，重點在技術分析基本理論與市場趨勢框架；趨勢辨識、均線、通道與趨勢跟隨。,"Robert Rhea is classified here as systematizer; the focus is core technical-analysis theory and trend frameworks; trend identification, moving averages, channels, and trend following.",《道氏理論》（1932）；參考來源：https://books.google.com/books/about/The_Dow_Theory.html?id=FO65ngEACAAJ；參考來源：https://openlibrary.org/books/OL6279382M/The_Dow_theory,The Dow Theory (1932); Reference source: https://books.google.com/books/about/The_Dow_Theory.html?id=FO65ngEACAAJ; Reference source: https://openlibrary.org/books/OL6279382M/The_Dow_theory,3 筆研究材料；2 個不同來源；1 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,3 research materials; 2 distinct sources; 1 high-evidence records; 1 book records; 0 paper/article records.
dow-theory,道氏理論,Dow Theory,foundation,7,4,重要補充,Important complement,charles-d-kirkpatrick-ii,14,查爾斯・柯克派翠克二世,Charles D. Kirkpatrick II,Dow Award 研究,Dow Award research,author_researcher,著作與研究兼具,Author-researcher,75.6,22,3,2,3,1,1,有代表性書籍或教材可追溯；有論文或研究文章支撐；高證據等級來源較多,supported by traceable books or textbook material; supported by papers or research articles; has multiple high-evidence sources,適合搭配優勝者資料交叉驗證,best used for cross-checking against the winning authority,查爾斯・柯克派翠克二世的角色是「Dow Award 研究」，重點在股票選股、相對強弱與成長股篩選；技術分析基本理論與市場趨勢框架。,"Charles D. Kirkpatrick II is classified here as Dow Award research; the focus is stock selection, relative strength, and growth-stock screening; core technical-analysis theory and trend frameworks.",原文題名：Stock Selection: A Test of Relative Stock Values Reported Over 17 1/2 Years（2001）；《技術分析：金融市場技術分析師完整資源》（2006）；參考來源：https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/,Stock Selection: A Test of Relative Stock Values Reported Over 17 1/2 Years (2001); Technical Analysis: The Complete Resource for Financial Market Technicians (2006); Reference source: https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/,3 筆研究材料；2 個不同來源；3 筆高證據等級；書籍 1 筆；論文/文章 1 筆。,3 research materials; 2 distinct sources; 3 high-evidence records; 1 book records; 1 paper/article records.
dow-theory,道氏理論,Dow Theory,foundation,7,5,重要補充,Important complement,paul-desmond,46,保羅・德斯蒙德,Paul Desmond,Dow Award 得主,Dow Award winner,researcher,技術研究者,Technical researcher,69.8,20,2,2,2,0,1,有論文或研究文章支撐；高證據等級來源較多,supported by papers or research articles; has multiple high-evidence sources,適合搭配優勝者資料交叉驗證,best used for cross-checking against the winning authority,保羅・德斯蒙德的角色是「Dow Award 得主」，重點在市場寬度、內部強弱與指數健康度判讀；市場情緒、逆向指標與群眾心理；技術分析基本理論與市場趨勢框架。,"Paul Desmond is classified here as Dow Award winner; the focus is market breadth, internal strength, and index health; sentiment, contrarian indicators, and crowd psychology; core technical-analysis theory and trend frameworks.",原文題名：Identifying Bear Market Bottoms and New Bull Markets（2002）；參考來源：https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/,Identifying Bear Market Bottoms and New Bull Markets (2002); Reference source: https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/,2 筆研究材料；2 個不同來源；2 筆高證據等級；書籍 0 筆；論文/文章 1 筆。,2 research materials; 2 distinct sources; 2 high-evidence records; 0 book records; 1 paper/article records.
dow-theory,道氏理論,Dow Theory,foundation,7,6,重要補充,Important complement,richard-russell,47,理查・羅素,Richard Russell,長期推廣者,long-term promoter,practitioner,實戰交易代表,Market practitioner,68.95,19,4,3,0,0,0,可作為該指標/方法的輔助觀點,useful as a complementary view on the indicator/method,偏整理或推廣，原創性通常低於指標創作者,"more synthetic/promotional, usually less original than the indicator creator",理查・羅素的角色是「長期推廣者」，重點在技術分析基本理論與市場趨勢框架；趨勢辨識、均線、通道與趨勢跟隨。,"Richard Russell is classified here as long-term promoter; the focus is core technical-analysis theory and trend frameworks; trend identification, moving averages, channels, and trend following.",原文題名：Dow Theory Letters（1958）；參考來源：https://en.wikipedia.org/wiki/Richard_Russell_(Dow_Theory)；參考來源：https://www.fa-mag.com/news/richard-russell--publisher-of-dow-theory-letters--dies-at-91-23996.html?print=；參考來源：https://www.trendfollowing.com/2013/03/16/ep-109-richard-russell-and-dow-theory-with-michael-covel-on-trend-following-radio/,Dow Theory Letters (1958); Reference source: https://en.wikipedia.org/wiki/Richard_Russell_(Dow_Theory); Reference source: https://www.fa-mag.com/news/richard-russell--publisher-of-dow-theory-letters--dies-at-91-23996.html?print=; Reference source: https://www.trendfollowing.com/2013/03/16/ep-109-richard-russell-and-dow-theory-with-michael-covel-on-trend-following-radio/,4 筆研究材料；3 個不同來源；0 筆高證據等級；書籍 0 筆；論文/文章 0 筆。,4 research materials; 3 distinct sources; 0 high-evidence records; 0 book records; 0 paper/article records.
dow-theory,道氏理論,Dow Theory,foundation,7,7,參考角色,Reference role,ralph-acampora,41,拉爾夫・阿坎波拉,Ralph Acampora,市場技術史,technical market history,practitioner,實戰交易代表,Market practitioner,56.7,20,2,2,1,1,0,有代表性書籍或教材可追溯；高證據等級來源較多,supported by traceable books or textbook material; has multiple high-evidence sources,適合搭配優勝者資料交叉驗證,best used for cross-checking against the winning authority,拉爾夫・阿坎波拉的角色是「市場技術史」，重點在趨勢辨識、均線、通道與趨勢跟隨；圖表型態、價格結構與支撐阻力；技術分析基本理論與市場趨勢框架。,"Ralph Acampora is classified here as technical market history; the focus is trend identification, moving averages, channels, and trend following; chart patterns, price structure, and support/resistance; core technical-analysis theory and trend frameworks.",《第四次超級市場》（2000）；參考來源：https://www.nyif.com/faculties/acampora-ralph,The Fourth Mega-Market (2000); Reference source: https://www.nyif.com/faculties/acampora-ralph,2 筆研究材料；2 個不同來源；1 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,2 research materials; 2 distinct sources; 1 high-evidence records; 1 book records; 0 paper/article records.
ehlers-filters,Ehlers 濾波器,Ehlers Filters,cycle,1,1,優勝,Winner,john-f-ehlers,57,約翰・艾勒斯,John F. Ehlers,濾波器,filters,indicator_creator,技術指標創作者,Indicator creator,75.5,24,3,2,1,2,0,有代表性書籍或教材可追溯；高證據等級來源較多；在原創性、資料覆蓋與專屬性綜合評分最高,"supported by traceable books or textbook material; has multiple high-evidence sources; highest combined score for originality, evidence coverage, and indicator specificity",適合搭配優勝者資料交叉驗證；優勝判斷是以本資料庫目前來源與評分規則為基準,best used for cross-checking against the winning authority; winner judgment is based on the current database sources and scoring rules,約翰・艾勒斯的角色是「濾波器」，重點在週期、時間窗口與市場節奏判讀；系統交易、規則設計與回測流程。,"John F. Ehlers is classified here as filters; the focus is cycles, timing windows, and market rhythm; systematic trading, rule design, and backtesting.",《交易者的火箭科學》（2001）；《股票與期貨控制論分析》（2004）；參考來源：https://www.mesasoftware.com/TechnicalArticles.htm,Rocket Science for Traders (2001); Cybernetic Analysis for Stocks and Futures (2004); Reference source: https://www.mesasoftware.com/TechnicalArticles.htm,3 筆研究材料；2 個不同來源；1 筆高證據等級；書籍 2 筆；論文/文章 0 筆。,3 research materials; 2 distinct sources; 1 high-evidence records; 2 book records; 0 paper/article records.
elder-ray,Elder-Ray,Elder-Ray Index,momentum,1,1,優勝,Winner,alexander-elder,35,亞歷山大・艾爾德,Alexander Elder,創始者,creator,indicator_creator,技術指標創作者,Indicator creator,103.9,24,2,2,1,1,0,最接近原始定義，適合作為該指標/方法的基準版本；有代表性書籍或教材可追溯；高證據等級來源較多；在原創性、資料覆蓋與專屬性綜合評分最高,"closest to the original definition and best used as the benchmark version; supported by traceable books or textbook material; has multiple high-evidence sources; highest combined score for originality, evidence coverage, and indicator specificity",原始版本仍需結合後續實證與現代市場條件；優勝判斷是以本資料庫目前來源與評分規則為基準,the original version should still be checked against later evidence and modern markets; winner judgment is based on the current database sources and scoring rules,亞歷山大・艾爾德的角色是「創始者」，重點在動量、超買超賣、背離與趨勢強弱；量價關係、資金流與供需分析；系統交易、規則設計與回測流程。,"Alexander Elder is classified here as creator; the focus is momentum, overbought/oversold conditions, divergence, and trend strength; price-volume relationships, money flow, and supply/demand; systematic trading, rule design, and backtesting.",《以交易為生》（1993）；參考來源：https://www.investopedia.com/articles/trading/03/022603.asp,Trading for a Living (1993); Reference source: https://www.investopedia.com/articles/trading/03/022603.asp,2 筆研究材料；2 個不同來源；1 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,2 research materials; 2 distinct sources; 1 high-evidence records; 1 book records; 0 paper/article records.
elliott-wave,艾略特波浪,Elliott Wave,wave,6,1,優勝,Winner,ralph-nelson-elliott,7,拉爾夫・尼爾森・艾略特,Ralph Nelson Elliott,創始者,creator,foundation,理論奠基者,Foundational theorist,109.3,22,3,2,0,1,0,最接近原始定義，適合作為該指標/方法的基準版本；有代表性書籍或教材可追溯；在原創性、資料覆蓋與專屬性綜合評分最高,"closest to the original definition and best used as the benchmark version; supported by traceable books or textbook material; highest combined score for originality, evidence coverage, and indicator specificity",原始版本仍需結合後續實證與現代市場條件；優勝判斷是以本資料庫目前來源與評分規則為基準,the original version should still be checked against later evidence and modern markets; winner judgment is based on the current database sources and scoring rules,拉爾夫・尼爾森・艾略特的角色是「創始者」，重點在波浪、分形結構與時間價格路徑；週期、時間窗口與市場節奏判讀。,"Ralph Nelson Elliott is classified here as creator; the focus is waves, fractal structure, and time-price paths; cycles, timing windows, and market rhythm.",《波浪原理》（1938）；參考來源：https://en.wikipedia.org/wiki/Ralph_Nelson_Elliott；參考來源：https://www.investopedia.com/terms/e/elliottwavetheory.asp,The Wave Principle (1938); Reference source: https://en.wikipedia.org/wiki/Ralph_Nelson_Elliott; Reference source: https://www.investopedia.com/terms/e/elliottwavetheory.asp,3 筆研究材料；2 個不同來源；0 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,3 research materials; 2 distinct sources; 0 high-evidence records; 1 book records; 0 paper/article records.
elliott-wave,艾略特波浪,Elliott Wave,wave,6,2,重要補充,Important complement,robert-prechter,42,羅伯特・普萊切特,Robert Prechter,推廣者/作者,promoter/author,author,經典著作作者,Classic author,73.45,23,3,2,1,1,0,有代表性書籍或教材可追溯；高證據等級來源較多,supported by traceable books or textbook material; has multiple high-evidence sources,偏整理或推廣，原創性通常低於指標創作者,"more synthetic/promotional, usually less original than the indicator creator",羅伯特・普萊切特的角色是「推廣者/作者」，重點在波浪、分形結構與時間價格路徑；市場情緒、逆向指標與群眾心理。,"Robert Prechter is classified here as promoter/author; the focus is waves, fractal structure, and time-price paths; sentiment, contrarian indicators, and crowd psychology.",《艾略特波浪原理》（1978）；參考來源：https://en.wikipedia.org/wiki/Robert_Prechter；參考來源：https://www.amazon.com/Elliott-Wave-Principle-Key-Market/dp/1616041374,Elliott Wave Principle (1978); Reference source: https://en.wikipedia.org/wiki/Robert_Prechter; Reference source: https://www.amazon.com/Elliott-Wave-Principle-Key-Market/dp/1616041374,3 筆研究材料；2 個不同來源；1 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,3 research materials; 2 distinct sources; 1 high-evidence records; 1 book records; 0 paper/article records.
